а - буквы русского алфавита {буквы} 	 type:NAN
бегемот - млекопитающее пресноводных бассейнов {млекопитающее} 	 type:NAN
бегунок - Деталь крутильного механизма {Деталь} 	 type:NAN
безвкусие - Отсутствие хорошего вкуса {Отсутствие} 	 type:NAN
безголосица - Отсутствие хороших голосов {Отсутствие} 	 type:NAN
бездеятельность - Отсутствие надлежащей деятельности {Отсутствие} 	 type:NAN
бездумье - Отсутствие ясных мыслей {Отсутствие} 	 type:NAN
безлуние - Отсутствие видимой луны {Отсутствие} 	 type:NAN
бейт - строфы в поэзии {строфы} 	 type:NPN
бекасинник - дроби для стрельбы {дроби} 	 type:NPN
бекон - свинина особой обработки {свинина} 	 type:NAN
белка - пушной зверек отряда {зверек} 	 type:ANN 
беллетрист - Автор беллетристических произведений {Автор} 	 type:NAN
белье - Изделия из тканей {Изделия} 	 type:NPN
бельэтаж - лучший этаж дома {этаж} 	 type:ANN 
беляши - круглые открытые пирожки {пирожки} 	 type:AAN 
бензоколонка - установка для отпуска {установка} 	 type:NPN
бензол - летучая огнеопасная жидкость {жидкость} 	 type:AAN 
берет - шапочка без тульи {шапочка} 	 type:NPN
берковец - русская мера веса {мера} 	 type:ANN 
беседка - строение для отдыха {строение} 	 type:NPN
бескозырка - фуражка без козырька {фуражка} 	 type:NPN
бесовка - злой вздорной женщине {женщине} 	 type:AAN 
беспартийность - Непринадлежность к партии {Непринадлежность} 	 type:NPN
бессилие - Недостаток физических сил {Недостаток} 	 type:NAN
бессоюзный - целое без помощи {целое} 	 type:NPN
бестарка - Повозка для перевозки {Повозка} 	 type:NPN
бестселлер - ряде зарубежных стран {ряде} 	 type:NAN
бесчинство - Нарушение порядка общепринятых норм {Нарушение} 	 type:NNAN 
бета - буквы греческого алфавита {буквы} 	 type:NAN
бета-распад - превращения атомных ядер {превращения} 	 type:NAN
бечева - веревка разной толщины {веревка} 	 type:NAN
бечевник - полоса вдоль рек {полоса} 	 type:NPN
бешамель - соус из яиц {соус} 	 type:NPN
библиограф - Специалист по библиографии {Специалист} 	 type:NPN
библиолог - Специалист по библиологии {Специалист} 	 type:NPN
бидон - сосуд цилиндрической формы {сосуд} 	 type:NAN
биллон - неполноценная металлическая монета {монета} 	 type:AAN 
биолог - Специалист по биологии {Специалист} 	 type:NPN
биржа - Учреждение для заключения {Учреждение} 	 type:NPN
бисер - зерна из стекла {зерна} 	 type:NPN
благоустроенность - Наличие необходимых условий {Наличие} 	 type:NAN
бланманже - Желе из сливок {Желе} 	 type:NPN
блесна - Приманка для ловли {Приманка} 	 type:NPN
блестки - блестящие пластинки чешуйки {пластинки} 	 type:ANN 
блюминг - мощный прокатный стан {стан} 	 type:AAN 
боб - Плод бобового растения {Плод} 	 type:NAN
бобок - семя из стручка {семя} 	 type:NPN
бобслей - спуск с гор {спуск} 	 type:NPN
богадельня - учреждение для призрения {учреждение} 	 type:NPN
богатство - Обилие материальных ценностей {Обилие} 	 type:NAN
богиня - божество женского пола {божество} 	 type:NAN
богослужение - Совершение в церкви {Совершение} 	 type:NPN
бойлер - Устройство для подогрева {Устройство} 	 type:NPN
бойница - Отверстие для стрельбы {Отверстие} 	 type:NPN
бокал - Сосуд для вина {Сосуд} 	 type:NPN
болезнь - Нарушение нормальной жизнедеятельности {Нарушение} 	 type:NAN
большевизация - Усиление большевистского влияния {Усиление} 	 type:NAN
большевик - Член большевистской партии {Член} 	 type:NAN
бомбодержатель - Приспособление для подвески {Приспособление} 	 type:NPN
бонапартизм - диктатуры крупной буржуазии {диктатуры} 	 type:NAN
бонбоньерка - коробка для конфет {коробка} 	 type:NPN
бонитировка - оценка сельскохозяйственных животных {оценка} 	 type:NAN
бора - ветер большой силы {ветер} 	 type:NAN
бородавка - твердый округлый нарост {нарост} 	 type:AAN 
борона - орудие для разрыхления {орудие} 	 type:NPN
борт - край боковой стенки {край} 	 type:NAN
бортмеханик - Член летного экипажа {Член} 	 type:NAN
борщ - Суп из свеклы {Суп} 	 type:NPN
ботвинья - кушанье из кваса {кушанье} 	 type:NPN
бочка - сосуд для жидкостей {сосуд} 	 type:NPN
брага - русский слабоалкогольный напиток {напиток} 	 type:AAN 
брага - слабоалкогольный напиток род {напиток} 	 type:ANN 
брамсель - верхний (прямой парус {парус} 	 type:AAN 
брандмайор - Начальник пожарных команд {Начальник} 	 type:NAN
брандмауэр - глухая огнестойкая стена {стена} 	 type:AAN 
брандмейстер - Начальник пожарной команды {Начальник} 	 type:NAN
братина - большой шаровидный сосуд {сосуд} 	 type:AAN 
бред - бессмысленная речь больного {речь} 	 type:ANN 
бредни - нелепые странные мысли {мысли} 	 type:AAN 
брезент - плотная непромокаемая парусина {парусина} 	 type:AAN 
бремсберг - Сооружение для спуска {Сооружение} 	 type:NPN
бригадир - чин в России {чин} 	 type:NPN
бригадирство - Работа в должности {Работа} 	 type:NPN
бриджи - Брюки особого покроя {Брюки} 	 type:NAN
бриошь - булочка особой формы {булочка} 	 type:NAN
бритва - нож для бритья {нож} 	 type:NPN
брожение - Процесс распада органических веществ {Процесс} 	 type:NNAN 
бронекатер - судно небольшого водоизмещения {судно} 	 type:NAN
бронетранспортер - машина повышенной проходимости {машина} 	 type:NAN
бронхит - Воспаление слизистой оболочки {Воспаление} 	 type:NAN
брусчатка - Бруски из камня {Бруски} 	 type:NPN
брюхо - Живот животного человека {Живот} 	 type:NNA 
брюшина - оболочка брюшной полости {оболочка} 	 type:NAN
будни - праздничный рабочий день {день} 	 type:AAN 
будуар - гостиная богатой женщины {гостиная} 	 type:NAN
будущность - События будущего времени {События} 	 type:NAN
буза - напиток из проса {напиток} 	 type:NPN
буквоедство - внешнее формальное толкование {толкование} 	 type:AAN 
буквоедство - формальное толкование чего {толкование} 	 type:ANN 
букинист - Специалист книжной торговли {Специалист} 	 type:NAN
булат - сталь высокой прочности {сталь} 	 type:NAN
бульдог - собака особой породы {собака} 	 type:NAN
бульдозер - приспособление у трактора {приспособление} 	 type:NPN
бум - рост капиталистической промышленности {рост} 	 type:NAN
бум - снаряд для упражнения {снаряд} 	 type:NPN
бумага - Материал для письма {Материал} 	 type:NPN
бумажник - Работник бумажной промышленности {Работник} 	 type:NAN
бундесвер - Наименование вооруженных сил {Наименование} 	 type:NAN
бундестаг - орган Федеративной Республики {орган} 	 type:NAN
бура - соль борной кислоты {соль} 	 type:NAN
бурав - Инструмент для сверления {Инструмент} 	 type:NPN
бурак - сосуд из бересты {сосуд} 	 type:NPN
бурдюк - Мешок из шкуры {Мешок} 	 type:NPN
буржуазия - класс капиталистического общества {класс} 	 type:NAN
бурки - сапоги из войлока {сапоги} 	 type:NPN
бурлеск","бурлеска - комической пародийной поэзии {поэзии} 	 type:AAN 
бурса - Общежитие для учащихся {Общежитие} 	 type:NPN
буссоль - инструмент для измерения {инструмент} 	 type:NPN
бутафория - Предметы театральной обстановки {Предметы} 	 type:NAN
бутирометр - Прибор для определения {Прибор} 	 type:NPN
бутсы - Ботинки для футбола {Ботинки} 	 type:NPN
бутылка - сосуд для жидкостей {сосуд} 	 type:NPN
буфер - устройство у паровоза {устройство} 	 type:NPN
буфет - Шкаф для хранения {Шкаф} 	 type:NPN
бухгалтер - Специалист по бухгалтерии {Специалист} 	 type:NPN
бучение - варка хлопка хлопчатобумажных {варка} 	 type:NNA 
бушель - Мера емкости сыпучих тел {Мера} 	 type:NNAN 
былина - народная эпическая песня {песня} 	 type:AAN 
быстрина - Место быстрого течения {Место} 	 type:NAN
бюст - изображение верхней части {изображение} 	 type:NAN
вагонник - Работник вагонного завода {Работник} 	 type:NAN
вагоностроение - Отрасль транспортного машиностроения {Отрасль} 	 type:NAN
важенка - Самка северного оленя {Самка} 	 type:NAN
вакса - мазь из сажи {мазь} 	 type:NPN
вакханка - древнем жрица бога {жрица} 	 type:ANN 
валторна - музыкальный духовой инструмент {инструмент} 	 type:AAN 
валуй - Гриб желтовато цвета {Гриб} 	 type:NAN
вальс - Танец трехдольного размера {Танец} 	 type:NAN
варан - южных крупных ящериц {ящериц} 	 type:AAN 
вариация - Видоизменение второстепенных элементов {Видоизменение} 	 type:NAN
варьете - театр легкого жанра {театр} 	 type:NAN
вата - масса из хлопка {масса} 	 type:NPN
ватерлиния - Черта вдоль борта {Черта} 	 type:NPN
ватерпас - прибор для проверки {прибор} 	 type:NPN
ватин - Ткань редкого плетения {Ткань} 	 type:NAN
ватт - Единица измерения активной мощности {Единица} 	 type:NNAN 
ваттметр - Прибор для измерения {Прибор} 	 type:NPN
вахмистр - звание в кавалерии {звание} 	 type:NPN
вдох - отдельный впуск воздуха {впуск} 	 type:ANN 
вдохновение - Состояние творческого подъема {Состояние} 	 type:NAN
ведомство - Отрасль государственного управления {Отрасль} 	 type:NAN
велодром - Сооружение для тренировок {Сооружение} 	 type:NPN
велосипед - машина для езды {машина} 	 type:NPN
вельбот - восьмивесельная мореходная шлюпка {шлюпка} 	 type:AAN 
венок - Украшение из цветов {Украшение} 	 type:NPN
вентиль - Клапан для регулирования {Клапан} 	 type:NPN
веретье - ткань из оческов {ткань} 	 type:NPN
вермишель - лапши фабричного производства {лапши} 	 type:NAN
вернисаж - просмотр художественной выставки {просмотр} 	 type:NAN
веротерпимость - Признание права свободного исповедания {Признание} 	 type:NNAN 
вероучение - Совокупность основных положений {Совокупность} 	 type:NAN
версия - друг от друга {друг} 	 type:NPN
верфь - предприятие для постройки {предприятие} 	 type:NPN
верхоглядство - отношение к чему {отношение} 	 type:NPN
веселка - Лопатка для размешивания {Лопатка} 	 type:NPN
веснушки - коричневатые пигментные пятнышки {пятнышки} 	 type:AAN 
весы - Прибор для определения {Прибор} 	 type:NPN
ветеринар - Специалист по ветеринарии {Специалист} 	 type:NPN
ветромер - Прибор для измерения {Прибор} 	 type:NPN
ветчина - мясо свиного окорока {мясо} 	 type:NAN
вечеринка - собрание для развлечения {собрание} 	 type:NPN
вечерник - Учащийся учебного заведения {Учащийся} 	 type:NAN
вечерня - служб у христиан {служб} 	 type:NPN
веялка - машина для очистки {машина} 	 type:NPN
вживление - Введение инородного тела {Введение} 	 type:NAN
взаимность - ответное чувство (симпатии {чувство} 	 type:ANN 
взаимовыручка - содействие в чем {содействие} 	 type:NPN
вибрация - движения упругого тела {движения} 	 type:NAN
виброметр - Прибор для измерения {Прибор} 	 type:NPN
вигвам - хижина индейцев Северной Америки {хижина} 	 type:NNAN 
виги - партия в Англии {партия} 	 type:NPN
видеомагнитофон - Аппарат для записи {Аппарат} 	 type:NPN
визитация - Проверка документов подозрительного судна {Проверка} 	 type:NNAN 
виктория - садовых растений (земляники {растений} 	 type:ANN 
вилы - орудие для подъема {орудие} 	 type:NPN
виноград - плодовое кустарниковое растение {растение} 	 type:AAN 
виноградарство - Отрасль сельского хозяйства {Отрасль} 	 type:NAN
винотека - Собрание коллекционных вин {Собрание} 	 type:NAN
виола - инструмент различных размеров {инструмент} 	 type:NAN
виола - шестиструнный музыкальный инструмент {инструмент} 	 type:AAN 
виолончель - инструмент басово диапазона {инструмент} 	 type:NAN
виолончель - четырехструнный музыкальный инструмент {инструмент} 	 type:AAN 
виртуозность - техническое мастерство артиста {мастерство} 	 type:ANN 
вирулентность - Совокупность болезнетворных свойств {Совокупность} 	 type:NAN
вирусолог - Специалист по вирусологии {Специалист} 	 type:NPN
вирши - Стихи силлабического размера {Стихи} 	 type:NAN
виселица - Орудие смертной казни {Орудие} 	 type:NAN
витализм - течение в биологии {течение} 	 type:NPN
вихрь - круговое движение ветра {движение} 	 type:ANN 
вицмундир - форменный фрак чиновников {фрак} 	 type:ANN 
властолюбие - Любовь к власти {Любовь} 	 type:NPN
вмешательство - Вторжение в чьи {Вторжение} 	 type:NPN
внутренность - Пространство внутри чего {Пространство} 	 type:NPN
водник - Работник водного транспорта {Работник} 	 type:NAN
водовод - сооружение для передачи {сооружение} 	 type:NPN
водогрейка - Сосуд для кипячения {Сосуд} 	 type:NPN
водокачка - здание для насосов {здание} 	 type:NPN
водомер - Прибор для измерения {Прибор} 	 type:NPN
водоподъемник - сооружение для подъема {сооружение} 	 type:NPN
водопровод - Система инженерных сооружений {Система} 	 type:NAN
водоспуск - Труба для спуска {Труба} 	 type:NPN
водоток - искусственных водных потоков {потоков} 	 type:AAN 
водоток - водных потоков (рек {потоков} 	 type:ANN 
водохранилище - водоем для накопления {водоем} 	 type:NPN
водяной - хозяин водных вместилищ {хозяин} 	 type:NAN
воздаяние - Вознаграждение за что {Вознаграждение} 	 type:NPN
воздух - Покрывало для сосудов {Покрывало} 	 type:NPN
воздуходувка - Машина для подачи {Машина} 	 type:NPN
воздухоохладитель - Аппарат для охлаждения {Аппарат} 	 type:NPN
воздухоподогреватель - Аппарат для подогрева {Аппарат} 	 type:NPN
возок - крытая зимняя повозка {повозка} 	 type:AAN 
войско - Совокупность вооруженных сил {Совокупность} 	 type:NAN
вокализм - Система гласных звуков {Система} 	 type:NAN
вокзал - Здание для обслуживания {Здание} 	 type:NPN
волдырь - пузырь от ожога {пузырь} 	 type:NPN
волномер - Прибор для измерения {Прибор} 	 type:NPN
воловня - Постройка для содержания {Постройка} 	 type:NPN
волок - Место наибольшего сближения {Место} 	 type:NAN
волосовина - Дефект металлических изделий {Дефект} 	 type:NAN
волосяник - Тюфяк из волоса {Тюфяк} 	 type:NPN
волчец - частью колючих растений {частью} 	 type:NAN
волчец - сорных большей частью {частью} 	 type:AAN 
волынка - духовой музыкальный инструмент {инструмент} 	 type:AAN 
вольт - Единица электрического напряжения {Единица} 	 type:NAN
вольтаметр - Прибор для измерения {Прибор} 	 type:NPN
вольтижировка - Номер конного жанра {Номер} 	 type:NAN
вольтметр - Прибор для измерения {Прибор} 	 type:NPN
воля - свойств человеческой психики {свойств} 	 type:NAN
вопрос - Обращение к кому {Обращение} 	 type:NPN
вороток - инструмент для приведения {инструмент} 	 type:NPN
ворс - пушок на поверхности {пушок} 	 type:NPN
ворсянка - травянистое растение соцветия {растение} 	 type:ANN 
восковка - бумага (для чертежей {бумага} 	 type:NPN
воскресник - коллективное выполнение какой {выполнение} 	 type:ANN 
восстание - выступление для защиты {выступление} 	 type:NPN
восторг - подъем радостных чувств {подъем} 	 type:NAN
вострушка - живой бойкой девочке {девочке} 	 type:AAN 
восьмерик - русская мера (счета {мера} 	 type:ANN 
вотчина - владение на Руси {владение} 	 type:NPN
всхлип - Звук судорожного вздоха {Звук} 	 type:NAN
вулканолог - Специалист по вулканологии {Специалист} 	 type:NPN
выбленки - Концы тонкого троса {Концы} 	 type:NAN
выварки - Остатки после варки {Остатки} 	 type:NPN
выдвиженчество - Выдвижение передовых рабочих {Выдвижение} 	 type:NAN
выдох - отдельное выталкивание воздуха {выталкивание} 	 type:ANN 
выключатель - Приспособление для выключения {Приспособление} 	 type:NPN
выкрутасы - замысловатые телодвижения па {телодвижения} 	 type:ANN 
вымол - стадия помола хлебного зерна {стадия} 	 type:NNAN 
вымолотки - Остатки после молотьбы {Остатки} 	 type:NPN
