абажур - Колпак для лампы {Колпак} 	 type:NPN
ария - Партия для голоса {Партия} 	 type:NPN
арка - дугообразное перекрытие проема {перекрытие} 	 type:ANN 
арктика - область земного шара {область} 	 type:NAN
арктика - Северная полярная область {область} 	 type:AAN 
арлекин - персонаж итальянской \"комедии {персонаж} 	 type:NAN
арматура - каркас железобетонных конструкций {каркас} 	 type:NAN
армия - обычные сухопутные войска {войска} 	 type:AAN 
аромат - Душистый приятный запах {запах} 	 type:AAN 
артериосклероз - разных заболеваний артерий {заболеваний} 	 type:ANN 
артикль - существительном показатель определенности {показатель} 	 type:ANN 
археограф - Специалист по археографии {Специалист} 	 type:NPN
археолог - Специалист по археологии {Специалист} 	 type:NPN
архив - Учреждение для хранения {Учреждение} 	 type:NPN
архиерей - чинов православного духовенства {чинов} 	 type:NAN
аршин - Старая русская мера {мера} 	 type:AAN 
аршин - русская мера длины {мера} 	 type:ANN 
асбест - светлый огнеупорный минерал {минерал} 	 type:AAN 
асбест - огнеупорный минерал класса {минерал} 	 type:ANN 
ассамблея - собрание какой международной организации {собрание} 	 type:NNAN 
ассенизация - Система санитарных мероприятий {Система} 	 type:NAN
ассигнация - знак в России {знак} 	 type:NPN
ассонанс - Созвучие гласных звуков {Созвучие} 	 type:NAN
астролябия - прибор для измерения {прибор} 	 type:NPN
астроном - Специалист по астрономии {Специалист} 	 type:NPN
атавизм - Наличие у потомка {Наличие} 	 type:NPN
атака - наступательное движение войск {движение} 	 type:ANN 
атлас - блестящей шелковой ткани {ткани} 	 type:AAN 
атлет - человеке крепкого телосложения {человеке} 	 type:NAN
атолл - остров кольцеобразной формы {остров} 	 type:NAN
аттестат - Рекомендация с места {Рекомендация} 	 type:NPN
аттракцион - Устройство для развлечений {Устройство} 	 type:NPN
аудитория - Помещение для чтения {Помещение} 	 type:NPN
афганцы - Военнослужащие советской армии {Военнослужащие} 	 type:NAN
аффект - Состояние сильного возбуждения {Состояние} 	 type:NAN
аэрарий - Площадка для принятия {Площадка} 	 type:NPN
аэролог - Специалист по аэрологии {Специалист} 	 type:NPN
аятолла - шиитском направлении ислама {направлении} 	 type:ANN 
баба - робком слабохарактерном мужчине {мужчине} 	 type:AAN 
бабуши - бабуша Род мягких туфель {бабуша} 	 type:NNAN 
багет - Планка для рамок {Планка} 	 type:NPN
база - пункт вооруженных сил {пункт} 	 type:NAN
базальт - порода темного цвета {порода} 	 type:NAN
базар - Место для торговли {Место} 	 type:NPN
байбак - грызун из рода {грызун} 	 type:NPN
байдарка - лодка без уключин {лодка} 	 type:NPN
байдарка - легкая спортивная лодка {лодка} 	 type:AAN 
байка - ворсистая хлопчатобумажная ткань {ткань} 	 type:AAN 
бак - сосуд для жидкостей {сосуд} 	 type:NPN
бактериолог - Специалист по бактериологии {Специалист} 	 type:NPN
балаган - легкая деревянная постройка {постройка} 	 type:AAN 
балаган - зрелище комического характера {зрелище} 	 type:NAN
балаган - народное театральное зрелище {зрелище} 	 type:AAN 
балалайка - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
балансир - Шест при помощи {Шест} 	 type:NPN
балет - Искусство сценического танца {Искусство} 	 type:NAN
баллада - стихотворение особой формы {стихотворение} 	 type:NAN
балласт - Груз для улучшения {Груз} 	 type:NPN
баллон - сосуд специального назна {сосуд} 	 type:NAN
баллон - автомобильная велосипедная камера {камера} 	 type:AAN 
балтиец - ийца Балтийского флота {ийца} 	 type:NAN
бальзамин - комнатное травянистое растение {растение} 	 type:AAN 
бандаж - повязка для поддержания {повязка} 	 type:NPN
бандура - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
банка - грушевидный стеклянный сосуд {сосуд} 	 type:AAN 
банкомёт - Игрок в карты {Игрок} 	 type:NPN
бар - букета для вин {букета} 	 type:NPN
барабан - мембранный музыкальный инструмент {инструмент} 	 type:AAN 
барак - Здание легкой постройки {Здание} 	 type:NAN
баран - Самец домашней овцы {Самец} 	 type:NAN
барашек - шкурка молодой овцы {шкурка} 	 type:NAN
барашки - белые пенистые волны {волны} 	 type:AAN 
барда - Отходы спиртового производства {Отходы} 	 type:NAN
барельеф - изображение на плоскости {изображение} 	 type:NPN
баритон - инструмент среднего регистра {инструмент} 	 type:NAN
баритон - духовой музыкальный инструмент {инструмент} 	 type:AAN 
баркарола - Песня венецианских гондольеров {Песня} 	 type:NAN
барометр - Прибор для измерения {Прибор} 	 type:NPN
баррикада - Заграждение из подручных {Заграждение} 	 type:NPN
барыня - народная плясовая песня {песня} 	 type:AAN 
басма - Краска для волос {Краска} 	 type:NPN
басмач - участник вооруженной группировки {участник} 	 type:NAN
басня - иносказательное нравоучительное стихотворение {стихотворение} 	 type:AAN 
бассейн - Область залегания полезных ископаемых {Область} 	 type:NNAN 
бастион - укрепление пятиугольной формы {укрепление} 	 type:NAN
батист - ткань полотняного переплетения {ткань} 	 type:NAN
батон - хлеб продолговатой формы {хлеб} 	 type:NAN
баттерфляй - Стиль спортивного плавания {Стиль} 	 type:NAN
батут - сетка для прыжков {сетка} 	 type:NPN
бахрома - Тесьма для обшивки {Тесьма} 	 type:NPN
башлык - теплый головной убор {убор} 	 type:AAN 
башня - узкое архитектурное сооружение {сооружение} 	 type:AAN 
башня - Возвышение для орудий {Возвышение} 	 type:NPN
башня - узкий многоэтажный дом {дом} 	 type:AAN 
бега - Состязания гонки упряжных {Состязания} 	 type:NNA 
бегство - самовольный уход откуда {уход} 	 type:ANN 
беда - тяжелом безвыходном положении {положении} 	 type:AAN 
безводье - Недостаток водных источников {Недостаток} 	 type:NAN
безголосица - Отсутствие хороших голосов {Отсутствие} 	 type:NAN
бездействие - Отсутствие деятельности должной энергии {Отсутствие} 	 type:NNAN 
безделушка - вещица для украшения {вещица} 	 type:NPN
безделье - Пребывание без дела {Пребывание} 	 type:NPN
бездорожье - состояние проезжих дорог {состояние} 	 type:NAN
бездумье - Отсутствие ясных мыслей {Отсутствие} 	 type:NAN
бекон - свинина особого приготовления {свинина} 	 type:NAN
белизна - чистый белый цвет {цвет} 	 type:AAN 
белила - втирание для лица {втирание} 	 type:NPN
белок - белая оболочка глаза {оболочка} 	 type:ANN 
белоэмигрант - эмигранта из России {эмигранта} 	 type:NPN
бензовоз - Автоцистерна для перевозки {Автоцистерна} 	 type:NPN
бергамот - сочных сладких груш {груш} 	 type:AAN 
берейтор - Объездчик верховых лошадей {Объездчик} 	 type:NAN
бес - ловком задорном человеке {человеке} 	 type:AAN 
беседка - постройка для отдыха {постройка} 	 type:NPN
бессмертие - вечное существование души {существование} 	 type:ANN 
бетономешалка - Машина для приготовления {Машина} 	 type:NPN
библиограф - Специалист по библиографии {Специалист} 	 type:NPN
библия - собрание священных книг {собрание} 	 type:NAN
бидон - сосуд цилиндрической формы {сосуд} 	 type:NAN
бизон - Крупное полорогое парнокопытное {парнокопытное} 	 type:AAN 
бинт - лента из марли {лента} 	 type:NPN
биолог - Специалист по биологии {Специалист} 	 type:NPN
биопсия - Иссечение кусочка живой ткани {Иссечение} 	 type:NNAN 
биржа - Склад лесоматериалов древесного {Склад} 	 type:NNA 
бисквит - легкого сдобного печенья {печенья} 	 type:AAN 
благорасположение - отношение к кому {отношение} 	 type:NPN
благочинный - благопристойный Благочинное поведение {поведение} 	 type:AAN 
блок - Приспособление для подъема {Приспособление} 	 type:NPN
блокгауз - сооружение для ведения {сооружение} 	 type:NPN
блуза - сборчатая верхняя рубаха {рубаха} 	 type:AAN 
блюдце - округлая большая впадина {впадина} 	 type:AAN 
блюминг - прокатный обжимный стан {стан} 	 type:AAN 
боа - Крупная южноамериканская змея {змея} 	 type:AAN 
боа - шарф из меха {шарф} 	 type:NPN
боб - Однолетнее травянистое растение {растение} 	 type:AAN 
бобслей - спуск с гор {спуск} 	 type:NPN
бог - верховное всемогущее существо {существо} 	 type:AAN 
богадельня - Приют для стариков {Приют} 	 type:NPN
богатство - Обилие материальных ценностей {Обилие} 	 type:NAN
боевик - Член вооруженной группировки {Член} 	 type:NAN
боевой - первоочередной Боевая тема {тема} 	 type:AAN 
бойкот - Отказ от работы {Отказ} 	 type:NPN
бойница - Отверстие для стрельбы {Отверстие} 	 type:NPN
бок - боке на боку {боке} 	 type:NPN
бок - левая сторона туловища {сторона} 	 type:ANN 
бокал - Сосуд для вина {Сосуд} 	 type:NPN
боксёр - сильная служебная собака {собака} 	 type:AAN 
болванка - Заготовка для изделий {Заготовка} 	 type:NPN
болеро - национальный парный танец {танец} 	 type:AAN 
болид - яркий крупный метеор {метеор} 	 type:AAN 
болонья - капроновая плащевая ткань {ткань} 	 type:AAN 
болт - прут для запирания {прут} 	 type:NPN
болтун - яйцо без зародыша {яйцо} 	 type:NPN
болтушка - похлебки из муки {похлебки} 	 type:NPN
боль - Приступ физического страдания {Приступ} 	 type:NAN
большевик - Член большевистской партии {Член} 	 type:NAN
бомбардировщик - Летчик бомбардировочной авиации {Летчик} 	 type:NAN
бонза - Чванное должностное лицо {лицо} 	 type:AAN 
боны - знаки мелкого достоинства {знаки} 	 type:NAN
бормашина - Аппарат для обтачивания {Аппарат} 	 type:NPN
бормотуха - Дешевое плодово-ягодное вино {вино} 	 type:AAN 
бородавка - округлый болезненный нарост {нарост} 	 type:AAN 
борозда - Канавка на поверхности {Канавка} 	 type:NPN
бороздка - углубление на чем {углубление} 	 type:NPN
борт - стенка (грузового автомобиля {стенка} 	 type:NAN
борт - грузовика товарного вагона {грузовика} 	 type:NAN
бортничество - Добывание меда лесных пчел {Добывание} 	 type:NNAN 
бостон - танец замедленного темпа {танец} 	 type:NAN
бочка - русская мера жидкостей {мера} 	 type:ANN 
бочка - Фигура высшего пилотажа {Фигура} 	 type:NAN
брандмейстер - Начальник пожарной команды {Начальник} 	 type:NAN
брасс - Стиль спортивного плавания {Стиль} 	 type:NAN
брата - напиток род домашнего {напиток} 	 type:NNA 
братина - чаща для вина {чаща} 	 type:NPN
братство - нек монашеских орденов {нек} 	 type:NAN
бревно - тупом неотесанном человеке {человеке} 	 type:AAN 
бред - Симптом психического заболевания {Симптом} 	 type:NAN
брезент - хлопчатобумажная водозащитная ткань {ткань} 	 type:AAN 
брезентовка - Куртка из брезента {Куртка} 	 type:NPN
брелок - Подвеска для украшения {Подвеска} 	 type:NPN
бритва - нож для бритья {нож} 	 type:NPN
брожение - Процесс расщепления органических веществ {Процесс} 	 type:NNAN 
броненосец - бронированный военный корабль {корабль} 	 type:AAN 
бронетранспортёр - автомобиль для перевозки {автомобиль} 	 type:NPN
бронетранспортёр - .колесный бронированный автомобиль {автомобиль} 	 type:AAN 
брусок - камень для шлифовки {камень} 	 type:NPN
брызги - частицы твердого тела {частицы} 	 type:NAN
брюшко - живот у мужчины {живот} 	 type:NPN
брюшко - отдел тела членистоногих {отдел} 	 type:NNA 
будка - помещение специального назначения {помещение} 	 type:NAN
будёновка - суконный головной убор {убор} 	 type:AAN 
букашка - маленькое мелкое насекомое {насекомое} 	 type:AAN 
букет - вкусовые свойства чего {свойства} 	 type:ANN 
букле - неизм О ткани {неизм} 	 type:NPN
букли - Кольца завитых волос {Кольца} 	 type:NAN
буколика - произведения в к {произведения} 	 type:NPN
буксир - Трос для буксировки {Трос} 	 type:NPN
бумага - Материал для письма {Материал} 	 type:NPN
бумажник - карманный плоский портфельчик {портфельчик} 	 type:AAN 
бумажник - Работник бумажной промышленности {Работник} 	 type:NAN
бунгало - легкая жилая постройка {постройка} 	 type:AAN 
бундесвер - дэ силы Федеративной Республики {дэ} 	 type:NNAN 
бур - Инструмент для бурения {Инструмент} 	 type:NPN
бурав - Инструмент для сверления {Инструмент} 	 type:NPN
бурда - безвкусное жидкое кушанье {кушанье} 	 type:AAN 
бурлак - рабочий в артели {рабочий} 	 type:NPN
бурнус - просторное женское пальто {пальто} 	 type:AAN 
бурьян - высоких сорных трав {трав} 	 type:AAN 
бусы - тонкого блестящего стекла {стекла} 	 type:AAN 
бутылка - русская мера жидкости {мера} 	 type:ANN 
буфер - устройство для смягчения {устройство} 	 type:NPN
буфет - Шкаф для хранения {Шкаф} 	 type:NPN
бухгалтер - Специалист по бухгалтерии {Специалист} 	 type:NPN
былина - народная эпическая песня {песня} 	 type:AAN 
бытие - Совокупность материальных условий {Совокупность} 	 type:NAN
бытописание - Описание быта повседневной жизни {Описание} 	 type:NNAN 
бювар - папка для бумаги {папка} 	 type:NPN
бюллетень - нек повременных изданий {нек} 	 type:NAN
бюро - группа руководящего состава {группа} 	 type:NAN
бюрократия - Система управления чиновнической администрации {Система} 	 type:NNAN 
бюстгальтер - лифчик для поддерживания {лифчик} 	 type:NPN
бяка - детской речи что {речи} 	 type:ANN 
вагонетка - вагон для перевозки {вагон} 	 type:NPN
ваза - Сосуд изящной формы {Сосуд} 	 type:NAN
вакса - мазь для чистки {мазь} 	 type:NPN
вакханалия - степень беспорядка неистового разгула {степень} 	 type:NNAN 
вакцина - Препарат из микроорганизмов {Препарат} 	 type:NPN
вал - общий объем продукции {объем} 	 type:ANN 
валик - предмет цилиндрической формы {предмет} 	 type:NAN
валторна - мундштучный музыкальный инструмент {инструмент} 	 type:AAN 
вальс - парный бальный танец {танец} 	 type:AAN 
вампир - мышь (в нек {мышь} 	 type:NPN
вандализм - разрушение исторических памятников {разрушение} 	 type:NAN
ванна - сосуд для купания {сосуд} 	 type:NPN
ванна - вместилище для растворов {вместилище} 	 type:NPN
варвар - грубый жестокий человек {человек} 	 type:AAN 
варево - Горячее жидкое кушанье {кушанье} 	 type:AAN 
вареники - ик маленьких пирожков {ик} 	 type:NAN
вариация - виртуозный классический танец {танец} 	 type:AAN 
варшавянка - прописное Боевая песня {песня} 	 type:AAN 
варяги - выходцы из Скандинавии {выходцы} 	 type:NPN
вата - материал из хлопка {материал} 	 type:NPN
ватерпас - Прибор для проверки {Прибор} 	 type:NPN
ватка - Кусочек медицинской ваты {Кусочек} 	 type:NAN
ватман - бумага для черчения {бумага} 	 type:NPN
ватрушка - открытого пирога пирожка {пирога} 	 type:ANN 
вахмистр - звание в кавалерии {звание} 	 type:NPN
вдовец - вца у к {вца} 	 type:NPN
ведомость - нек повременных изданий {нек} 	 type:NAN
ведро - русская мера жидкостей {мера} 	 type:ANN 
вездеход - Автомашина для передвижения {Автомашина} 	 type:NPN
великомученик - праведник при жизни {праведник} 	 type:NPN
величание - обрядовая величальная песня {песня} 	 type:AAN 
величие - Наличие в ком {Наличие} 	 type:NPN
велосипед - машина для езды {машина} 	 type:NPN
вельвет - плотная рубчатая ткань {ткань} 	 type:AAN 
венгерка - танец венгерского происхождения {танец} 	 type:NAN
венгерка - бальный быстрый танец {танец} 	 type:AAN 
вензель - Сочетание начальных букв {Сочетание} 	 type:NAN
вентиль - Клапан для регулирования {Клапан} 	 type:NPN
вентиль - клапана для регулирования {клапана} 	 type:NPN
вербена - дикорастущее душистое растение {растение} 	 type:AAN 
вереница - Ряд сходных предметов {Ряд} 	 type:NAN
вермахт - силы фашистской Германии {силы} 	 type:NAN
вернисаж - открытие художественной выставки {открытие} 	 type:NAN
верста - русская мера длины {мера} 	 type:ANN 
вертикаль - линия По вертикали {линия} 	 type:NPN
вертихвостка - неодобр Легкомысленно женщина {женщина} 	 type:AAN 
вертлуг - конец бедренной кости {конец} 	 type:NAN
вертлюг - звено для соединения {звено} 	 type:NPN
вертодром - Аэродром для вертолетов {Аэродром} 	 type:NPN
вертушка - Легкомысленный ветреный человек {человек} 	 type:AAN 
верх - сторона одежды крытой {сторона} 	 type:NNA 
верх - Лицевая сторона одежды {сторона} 	 type:ANN 
верх - Высшие руководящие круги {круги} 	 type:AAN 
верх - руководящие круги общества {круги} 	 type:ANN 
верх - Внешняя поверхностная сторона {сторона} 	 type:AAN 
верх - поверхностная сторона явлений {сторона} 	 type:ANN 
верхоглядство - ознакомление с чем {ознакомление} 	 type:NPN
верхушка - знания в какой {знания} 	 type:NPN
верша - снасть конической формы {снасть} 	 type:NAN
веснянка - обрядовая восточнославянская песня {песня} 	 type:AAN 
вестерн - фильм из жизни {фильм} 	 type:NPN
вестник - нек периодических изданий {нек} 	 type:NAN
ветвь - Ответвление от чего {Ответвление} 	 type:NPN
ветеринар - Специалист по ветеринарии {Специалист} 	 type:NPN
вешалка - петля за к {петля} 	 type:NPN
вещь - личному движимому имуществу {имуществу} 	 type:AAN 
взаимодействие - поддержка В войск {поддержка} 	 type:NPN
взаимоотношение - отношения между кем {отношения} 	 type:NPN
взаимосвязь - связь В явлений {связь} 	 type:NPN
вивисекция - Вскрытие живого животного {Вскрытие} 	 type:NAN
вигонь - пряжи из отходов {пряжи} 	 type:NPN
вид - сочетании с нек {сочетании} 	 type:NPN
вид - обучения В спорта {обучения} 	 type:NPN
видоискатель - устройство в фото {устройство} 	 type:NPN
виза - Пометка должностного лица {Пометка} 	 type:NAN
визир - Прибор для визирования {Прибор} 	 type:NPN
визирь - титул министра высшего сановника {титул} 	 type:NNAN 
вилка - Предмет столового прибора {Предмет} 	 type:NAN
вилка - различных устройств приспособлений {устройств} 	 type:ANN 
винотека - Собрание коллекционных вин {Собрание} 	 type:NAN
винт - иРод карточной игры {иРод} 	 type:NAN
винт - Приспособление для приведения {Приспособление} 	 type:NPN
виола - смычковый музыкальный инструмент {инструмент} 	 type:AAN 
вираж - наклонный поворот трека {поворот} 	 type:ANN 
вираж - Раствор для окрашивания {Раствор} 	 type:NPN
вирусолог - Специалист по вирусологии {Специалист} 	 type:NPN
виток - оборот спирали винтовой {оборот} 	 type:NNA 
вихрь - круговое движение ветра {движение} 	 type:ANN 
вклад - Достижение в области {Достижение} 	 type:NPN
вкладчик - Владелец денежного вклада {Владелец} 	 type:NAN
вкус - внешних чувств человека {чувств} 	 type:ANN 
власяница - волосяная одежда монаха {одежда} 	 type:ANN 
влечение - склонность к кому {склонность} 	 type:NPN
внимание - отношение к кому {отношение} 	 type:NPN
водолечебница - Учреждение для водолечения {Учреждение} 	 type:NPN
водомер - Прибор для измерения {Прибор} 	 type:NPN
водоросль - растение у к {растение} 	 type:NPN
водосток - Сооружение для отвода {Сооружение} 	 type:NPN
военный - службе в армии {службе} 	 type:NPN
военный - военнослужащих у армейцев {военнослужащих} 	 type:NPN
вождь - Глава племени родовой общины {Глава} 	 type:NNAN 
вождь - идейный политический руководитель {руководитель} 	 type:AAN 
вождь - политический руководитель масс {руководитель} 	 type:ANN 
вождь - Глава идейного течения {Глава} 	 type:NAN
возвышенность - Участок земной поверхности {Участок} 	 type:NAN
возлияние - Питье спиртных напитков {Питье} 	 type:NAN
вой - звуки В ветра {звуки} 	 type:NPN
вой - заунывные тревожные звуки {звуки} 	 type:AAN 
войлок - Плотный толстый материал {материал} 	 type:AAN 
волчатник - Охотник на волков {Охотник} 	 type:NPN
волынка - Медлительность в каком {Медлительность} 	 type:NPN
волынка - духовой музыкальный инструмент {инструмент} 	 type:AAN 
вольера","вольер - ВОЛЬЕР для содержания {ВОЛЬЕР} 	 type:NPN
вольница - Своенравный самовольный человек {человек} 	 type:AAN 
вольноопределяющийся - егося царской России {егося} 	 type:NAN
вольность - Отступление от правил {Отступление} 	 type:NPN
вольт - крутой круговой поворот {поворот} 	 type:AAN 
вольт - уклонение от удара {уклонение} 	 type:NPN
вольтаж - напряжения электрического тока {напряжения} 	 type:NAN
вольтметр - Прибор для измерения {Прибор} 	 type:NPN
волюнтаризм - субъективистские произвольные решения {решения} 	 type:AAN 
воронка - Приспособление для переливания {Приспособление} 	 type:NPN
воронка - Яма от взрыва {Яма} 	 type:NPN
ворот - вырез вокруг шеи {вырез} 	 type:NPN
ворота - Проезд внутрь строения {Проезд} 	 type:NPN
ворсинка - образование на поверхности {образование} 	 type:NPN
воскресение - возвращение к жизни {возвращение} 	 type:NPN
восприятие - чувственного отражения действительности {отражения} 	 type:ANN 
восторг - Подъем радостных чувств {Подъем} 	 type:NAN
восьмерик - русская мера (веса {мера} 	 type:ANN 
вотчина - наследственное земельное владение {владение} 	 type:AAN 
впадина - Понижение земной поверхности {Понижение} 	 type:NAN
временник - нек периодических изданий {нек} 	 type:NAN
времяисчисление - Способ исчисления календарного времени {Способ} 	 type:NNAN 
вседозволенность - неодобр Поведение того {Поведение} 	 type:ANN 
вспышка - проявление сильного чувства {проявление} 	 type:NAN
вставка - Вставки в рукописи {Вставки} 	 type:NPN
вулканолог - Специалист по вулканологии {Специалист} 	 type:NPN
выборщик - Представитель от избирателей {Представитель} 	 type:NPN
выборы - Избрание путем голосования {Избрание} 	 type:NPN
выбытъ - сов из чего {сов} 	 type:NPN
вывих - Смещение суставных концов {Смещение} 	 type:NAN
выделка - рисунок на ткани {рисунок} 	 type:NPN
выключатель - Прибор для включения {Прибор} 	 type:NPN
выкормыш - низком подлом человеке {человеке} 	 type:AAN 
выкройка - Образец для кройки {Образец} 	 type:NPN
выпад - выставление согнутой ноги {выставление} 	 type:NAN
выпуклость - место на чем {место} 	 type:NPN
вырождение - Потеря ценных свойств {Потеря} 	 type:NAN
высота - основных свойств звука {свойств} 	 type:ANN 
высотник - Строитель высотных сооружений {Строитель} 	 type:NAN
высотомер - Прибор для измерения {Прибор} 	 type:NPN
вытрезвитель - учреждение для вытрезвления {учреждение} 	 type:NPN
вьюн - юрком вертлявом человеке {человеке} 	 type:AAN 
вязь - декоративное орнаментальное письмо {письмо} 	 type:AAN 
вёдро - ясная погода В {погода} 	 type:ANN 
габардин - Плотная шерстяная ткань {ткань} 	 type:AAN 
габарит - внешние очертания предмета {очертания} 	 type:ANN 
гагара - северная водоплавающая птица {птица} 	 type:AAN 
газ - Газообразные выделения желудка {выделения} 	 type:ANN 
газик - вездеходного лег автомобиля {автомобиля} 	 type:AAN 
газовик - Работник газовой промышленности {Работник} 	 type:NAN
газовщик - Специалист по газификации {Специалист} 	 type:NPN
газомет - Прибор для измерения {Прибор} 	 type:NPN
газопровод - Трубопровод для передачи {Трубопровод} 	 type:NPN
гайдамак - участник народно движения {участник} 	 type:NAN
гайморит - Воспаление слизистой оболочки {Воспаление} 	 type:NAN
галера - многовесельное военное судно {судно} 	 type:AAN 
галерея - ход в каких {ход} 	 type:NPN
галечник - порода из скоплений {порода} 	 type:NPN
галоп - стремительный бальный танец {танец} 	 type:AAN 
гамбит - Начало шахматной партии {Начало} 	 type:NAN
гангстеризм - Действия гангстеров целых {Действия} 	 type:NNA 
гараж - Помещение для стоянки {Помещение} 	 type:NPN
