абиссинцы - населения Эфиопии {населения}
аппендицит - Воспаление аппендикса {Воспаление}
апперцепция - Зависимость восприятия {Зависимость}
аппликация - Способ создания {Способ}
аппретура - Обработка ткани {Обработка}
аптекарша - Женщина аптекаря {Женщина}
аптекарь - Работник аптеки {Работник}
арабистика - Совокупность наук {Совокупность}
арабы - группа народов {группа}
арго - язык какой {язык}
арифметика - Раздел математики {Раздел}
арка - перекрытие проема {перекрытие}
армада - соединение кораблей {соединение}
арматура - Комплект предметов {Комплект}
ароматизация - Способ переработки {Способ}
арсенал - Склад оружия {Склад}
артель - Объединение лиц {Объединение}
артериосклероз - заболевание артерий {заболевание}
артикуляция - Работа органов {Работа}
артрит - Воспаление суставов {Воспаление}
архиерей - чинов духовенства {чинов}
архимандрит - Титул настоятеля {Титул}
архипастырь - чинов духовенства {чинов}
архитектоника - расположение частей {расположение}
архитектура - Искусство проектирования {Искусство}
аршин - мера длины {мера}
аршинник - купца торговца {купца}
асептика - Меры обеззараживания {Меры}
аспект - Точка зрения {Точка}
аспирантура - Система подготовки {Система}
ассамблея - собрание какой {собрание}
ассигновка - распорядителем кредита {распорядителем}
ассимилятор - Сторонник ассимиляторства {Сторонник}
ассирияне - Население Ассирии {Население}
ассистент - Помощник профессора {Помощник}
ассоциация - Объединение лиц {Объединение}
астероиды - Малые планеты {Малые}
астма - Приступы удушья {Приступы}
астроботаника - Раздел астробиологии {Раздел}
астрометрия - Раздел астрономии {Раздел}
астронавигация - Метод навигации {Метод}
астрофизика - Раздел астрономии {Раздел}
асфиксия - расстройство дыхания {расстройство}
атака - нападение войск {нападение}
атеизм - Отрицание существования {Отрицание}
атеист - Последователь атеизма {Последователь}
ателье - Мастерская одежды {Мастерская}
атмосфера - оболочка Земли {оболочка}
атония - Ослабление напряжения {Ослабление}
атрибут - свойство предмета {свойство}
атрофия - Потеря жизнеспособности {Потеря}
аукцион - продажа какого {продажа}
аут - перелет мяча {перелет}
афазия - Расстройство речи {Расстройство}
африканистика - Совокупность наук {Совокупность}
ацтеки - народность Мексики {народность}
аэрология - Раздел метеорологии {Раздел}
аэромеханика - Раздел механики {Раздел}
аэросъемка - Съемка местности {Съемка}
аэрофотография - Раздел фотографии {Раздел}
аэрофотосъемка - Фотографирование местности {Фотографирование}
бабка - сустав ноги {сустав}
бабка - образом снопов {образом}
бабушка - Мать отца {Мать}
бабье - Бабы женщины {Бабы}
байронизм - течение начала {течение}
бактериоз - Болезнь растения {Болезнь}
бакштов - Конец троса {Конец}
балерина - Артистка балета {Артистка}
балкон - стене здания {стене}
балясина - столбик перил {столбик}
банда - группа людей {группа}
бандит - Участник банды {Участник}
банкротство - Несостоятельность лица {Несостоятельность}
банту - Семья языков {Семья}
банщик - Работник бани {Работник}
баптист - Последователь баптизма {Последователь}
бар - Единица измерения {Единица}
баран - Самец овцы {Самец}
баранина - Мясо барана {Мясо}
барда - Отходы винокурения {Отходы}
барич - Сын барина {Сын}
баронство - Титул барона {Титул}
барство - Помещики господа {Помещики}
барсучиха - Самка барсука {Самка}
бархатка - -ток дат {-ток}
барчук - сын барина {сын}
барщина - труд крестьян {труд}
барышничество - Занятие барышника {Занятие}
барышня - дочь барина {дочь}
басма' - листы металла {листы}
баснописец - Автор басен {Автор}
батареец - Боец батареи {Боец}
батог - Палка трость {Палка}
батрачество - Занятие батрака {Занятие}
бахтарма - сторона кожи {сторона}
безбожие - Отрицание существования {Отрицание}
безверие - Отсутствие веры {Отсутствие}
безветрие - Отсутствие ветра {Отсутствие}
безвинность - Отсутствие вины {Отсутствие}
безвкусица - Проявление безвкусия {Проявление}
безвластие - Отсутствие власти {Отсутствие}
безволие - Отсутствие силы {Отсутствие}
бездействие - Отсутствие всякой# {Отсутствие}
бездефектность - Отсутствие дефектов {Отсутствие}
бездождие - отсутствие дождя {отсутствие}
бездолье - Несчастье невзгоды {Несчастье}
беззастенчивость - Отсутствие застенчивости {Отсутствие}
безземелье - Недостаток земли {Недостаток}
безлесье - Отсутствие лесов {Отсутствие}
безлюдье - Отсутствие людей {Отсутствие}
безмолвие - Молчание звуков {Молчание}
безначалие - Отсутствие власти {Отсутствие}
безотрадность - Отсутствие отрады {Отсутствие}
безотцовщина - Отсутствие отца {Отсутствие}
бейка - Полоска ткани {Полоска}
бекас - птица отряда {птица}
белек - Детеныш тюленя {Детеныш}
белизна - цвет чего {цвет}
белка - зверек отряда {зверек}
белокровие - Заболевание крови {Заболевание}
белужина - Мясо белуги {Мясо}
бельгийцы - Население Бельгии {Население}
бельчонок - Детеныш белки {Детеныш}
бельэтаж - этаж дома {этаж}
бенуар - ярус лож {ярус}
берберы - Группа народов {Группа}
берег - Край земли {Край}
беременность - Состояние женщины {Состояние}
береста - слой коры {слой}
бери-бери - Болезнь обмена {Болезнь}
берковец - мера веса {мера}
берлога - Логово медведя {Логово}
бескормица - Недостаток корма {Недостаток}
бескорыстие - Отсутствие стремления {Отсутствие}
бескультурье - Отсутствие культуры {Отсутствие}
беспамятство - Потеря сознания {Потеря}
беспокойство - состояние волнение {состояние}
бесправие - Отсутствие прав {Отсутствие}
беспристрастие - Отсутствие пристрастия {Отсутствие}
бессердечие - Отсутствие сердечности {Отсутствие}
бессмыслие - Отсутствие мысли {Отсутствие}
бессонница - отсутствие сна {отсутствие}
бесстрастие - Отсутствие страстей {Отсутствие}
бесстрашие - Отсутствие страха {Отсутствие}
бесстыдство - Отсутствие стыда {Отсутствие}
бесхребетность - Отсутствие твердости {Отсутствие}
бесчестье - Поругание чести {Поругание}
бесчинство - Нарушение порядка {Нарушение}
бесчувствие - Потеря сознания {Потеря}
бета-лучи - Поток бета-частиц {Поток}
бешенство - болезнь животных {болезнь}
библиотекарь - Работник библиотеки {Работник}
библиотековедение - Отрасль науки {Отрасль}
библиотечка - собрание книг {собрание}
бивак - Стоянка войск {Стоянка}
бинт - Кусок марли {Кусок}
биограф - Составитель биографии {Составитель}
биография - Описание чьей {Описание}
биология - Совокупность наук {Совокупность}
биопсия - Иссечение кусочка {Иссечение}
биоритм - колебания интенсивности {колебания}
биоритмика - Совокупность проявлений {Совокупность}
биосфера - Оболочка Земли {Оболочка}
бисерина - зерно бисера {зерно}
бифштекс - кусок говядины {кусок}
благодарение - Выражение признательности {Выражение}
благодарность - Чувство признательности {Чувство}
благоприобретение - Приобретение чего {Приобретение}
блаженство - степень счастья {степень}
бланк - Лист бумаги {Лист}
бластула - Стадия развития {Стадия}
блат - язык (арго {язык}
блестки - пластинки чешуйки {пластинки}
блеяние - Крик овец {Крик}
близорукость - Недостаток зрения {Недостаток}
блик - Отблеск света {Отблеск}
блинт - Тиснение надписей {Тиснение}
блок - Объединение государств {Объединение}
блокада - Окружение города {Окружение}
бобер - Мех бобра {Мех}
бобр - Животное отряда {Животное}
бобренок - Детеныш бобра {Детеныш}
бобриха - Самка бобра {Самка}
богатырство - качества богатырей {качества}
богатырь - Герой русских {Герой}
богородица - матери Христа {матери}
богохульство - Поношение бога {Поношение}
боекомплект - количество боеприпасов {количество}
боепитание - Обеспеченне войск {Обеспеченне}
боец - Участник боев {Участник}
болван - обрубок дерева {обрубок}
болванка - Слиток металла {Слиток}
боливийцы - Население Боливии {Население}
болтун - яйцо птицы {яйцо}
бомбометание - сбрасывание бомб {сбрасывание}
бонапартист - Сторонник бонапартизма {Сторонник}
бонитет - Показатель качества {Показатель}
боргес - размеров шрифта {размеров}
боров - самец свиньи {самец}
борт - край одежды {край}
бортинженер - Член экипажа {Член}
босячество - Образ жизни {Образ}
боязнь - Чувство страха {Чувство}
боярыня - Жена боярина {Жена}
боярышня - дочь боярина {дочь}
брага - напиток род {напиток}
бражничество - Провождение времени {Провождение}
брак - союз мужчины {союз}
бракераж - Определение сорта {Определение}
бред - речь больного {речь}
бригадир - Руководитель бригады {Руководитель}
бригадник - Член бригады {Член}
бро'ня - Закрепление какого {Закрепление}
бровь - полоска волос {полоска}
брожение - Процесс распада {Процесс}
бронза - Сплав меди {Сплав}
брус - кусок дерева {кусок}
брусничник - Заросли брусники {Заросли}
бруцеллез - заболевание коз {заболевание}
брыжейка - Складка брюшины {Складка}
брызги - Капли жидкости {Капли}
брюквина - штука брюквы {штука}
брюхо - Живот человека {Живот}
брюховина - желудок кишки {желудок}
буддист - Последователь буддизма {Последователь}
бузинник - Заросли бузины {Заросли}
буйволица - Самка буйвола {Самка}
буквоедство - толкование чего {толкование}
букетировка - Способ ухода {Способ}
булочник - Владелец булочной {Владелец}
бумагопрядение - Производство пряжи {Производство}
бундесрат - Орган представительства {Орган}
бунтарство - Проявление непокорности {Проявление}
буржуа - Представитель класса {Представитель}
бурсак - Воспитанник бурсы {Воспитанник}
бурт - куча овощей {куча}
буртование - Закладка овощей {Закладка}
бусина - зерно бус {зерно}
бутерброд - Ломтик хлеба {Ломтик}
бутон - Почка цветка {Почка}
буффонада - прием изображения {прием}
бучение - варка тряпья {варка}
бушель - Мера емкости {Мера}
бык - животное подсемейства {животное}
былинка - Стебель травы {Стебель}
былинщик - Певец былин {Певец}
быт - уклад жизни {уклад}
бытописатель - Автор произведений {Автор}
бытописательство - Изображение быта {Изображение}
бычатина - Мясо быка {Мясо}
бычина - Шкура быка {Шкура}
бьеф - Участок реки {Участок}
бюджет - Смета доходов {Смета}
бюрократ - Представитель бюрократии {Представитель}
бюрократизм - Система управления {Система}
вагоновожатый - Водитель трамвая {Водитель}
вайя - Лист папоротника {Лист}
вакации - Перерыв занятий {Перерыв}
вакханка - жрица бога {жрица}
вакцинация - прививка вакцины {прививка}
вал - Деталь машины {Деталь}
вал - объем продукции {объем}
валентность - Способность атома {Способность}
вариант - видоизменение чего {видоизменение}
вариометр - приборов служащих {приборов}
варяги - норманнов дружины {норманнов}
ватт - Единица измерения {Единица}
ватт-секунда - Единица измерения {Единица}
ватт-час - Единица измерения {Единица}
вафельница - выпечки вафель {выпечки}
вахмистр - звание фельдфебеля {звание}
вдовство - состояние вдовца {состояние}
вдох - впуск воздуха {впуск}
вегетарианство - Система питания {Система}
век - Промежуток времени {Промежуток}
веки - складки кожи {складки}
величество - Титулование монархов {Титулование}
венерология - Отрасль медицины {Отрасль}
вензель - буквы имени {буквы}
веник - Связка прутьев {Связка}
венчание - Обряд возведения {Обряд}
верблюдица - Самка верблюда {Самка}
верблюжина - Мясо верблюда {Мясо}
верблюжонок - Детеныш верблюда {Детеныш}
веревка - шнура пряди {шнура}
веретеница - змею ящерицы {змею}
вероломство - Нарушение обязательства {Нарушение}
веротерпимость - Признание права {Признание}
вероятность - возможность осуществления {возможность}
версия - друг изложений {друг}
верста - мера длины {мера}
верстак - стол слесарной {стол}
вертеп - Пещера преступников {Пещера}
вертикаль - направление отвеса {направление}
вершок - мера длины {мера}
вес - Тяжесть какого {Тяжесть}
весна - Время года {Время}
ветер - Движение потока {Движение}
ветеринария - Система наук {Система}
ветошка - лоскут чего {лоскут}
ветошник - Скупщик ветоши {Скупщик}
ветроэнергетика - Область техники {Область}
вечер - Время суток {Время}
вечность - Течение времени {Течение}
вещество - сущность материи {сущность}
вещь - предмет явления {предмет}
взаимность - чувство (симпатии {чувство}
взаимодействие - связь предметов {связь}
взаимообусловленность - обусловленность явлений {обусловленность}
взаимоотношение - Отношение предметов {Отношение}
взблеск - Вспышка света {Вспышка}
взвар - Отвар ягод {Отвар}
взнос - Внесение денег {Внесение}
взяток - Добыча пчелы {Добыча}
взяточничество - Получение взяток {Получение}
вигвам - хижина индейцев {хижина}
виги - партия Великобритании {партия}
вигонь - млекопитающее рода {млекопитающее}
вид - облик кого {облик}
вид - понятие особей {понятие}
видоискатель - устройство фото {устройство}
видообразование - Процесс образования {Процесс}
византиноведение - Отрасль медиевистики {Отрасль}
визготня - крики взвизгивания {крики}
визирь - Титул министров {Титул}
визит - посещение кого {посещение}
визитация - Проверка документов {Проверка}
виконт - титул барона {титул}
виктория - растений (земляники {растений}
виновность - Наличие вины {Наличие}
виноградина - Ягода винограда {Ягода}
виноделие - Изготовление вина {Изготовление}
винокурение - Производство спирта {Производство}
виртуозность - мастерство артиста {мастерство}
витаминизация - Введение витаминов {Введение}
вихор - прядь волос {прядь}
вихрь - движение ветра {движение}
вицмундир - фрак чиновников {фрак}
вишня - дерево кустарника {дерево}
вкусовщина - Оценка каких {Оценка}
владетель - Правитель государства {Правитель}
влажность - Наличие влаги {Наличие}
власть - Право управления {Право}
внимание - Сосредоточенность мыслей {Сосредоточенность}
внимательность - Проявление внимания {Проявление}
внук - Сын дочери {Сын}
внучата - Внуки внучки {Внуки}
внучка - Дочь сына {Дочь}
водность - Наличие воды {Наличие}
водоворот - движение воды {движение}
водоем - Место скопления {Место}
водозабор - Подача воды {Подача}
водолечение - Применение воды {Применение}
водоотвод - Система мероприятий {Система}
водопад - Поток воды {Поток}
водопользование - Порядок условия {Порядок}
водоскат - Падение воды {Падение}
водоснабжение - Система мероприятий {Система}
водоток - потоков (рек {потоков}
водянка - Скопление жидкости {Скопление}
воевода - Начальник войска {Начальник}
военачальник - Начальник войска {Начальник}
вождь - Предводитель войска {Предводитель}
возгонка - переход вещества {переход}
воздержание - Ограничение себя {Ограничение}
воззрение - Образ мыслей {Образ}
возраст - Количество времени {Количество}
волеизъявление - Проявление воли {Проявление}
волнение - Движение волн {Движение}
воловина - Шкура вола {Шкура}
волосатость - Степень покрытия {Степень}
волхв - Колдун чародей {Колдун}
волчанка - туберкулеза кожи {туберкулеза}
волчица - Самка волка {Самка}
волчонок - Детеныш волка {Детеныш}
волшебник - Колдун чародей {Колдун}
вольница - группы населения {группы}
вольтерьянец - Последователь Вольтера {Последователь}
волюнтарист - Последователь волюнтаризма {Последователь}
вооруженность - Оснащенность какими {Оснащенность}
вопленица - Исполнительница плачей {Исполнительница}
вопросник - Перечень вопросов {Перечень}
воробьенок - Птенец воробья {Птенец}
воробьиха - Самка воробья {Самка}
воровство - Хищение чьей {Хищение}
вороненок - Птенец ворона {Птенец}
вороток - инструмент (разверток {инструмент}
ворсинка - Волосок ворса {Волосок}
ворсянка - растение соцветия {растение}
воскресенье - день отдыха {день}
воскресник - выполнение какой {выполнение}
восток - стран света {стран}
востоковедение - Совокупность наук {Совокупность}
восхищение - степень удовлетворения {степень}
восьмерик - мера (счета {мера}
восьмидесятилетие - Промежуток времени {Промежуток}
восьмисотлетие - Промежуток времени {Промежуток}
вотчинник - Владелец вотчины {Владелец}
враки - Ложь выдумки {Ложь}
время - Длительность существования {Длительность}
времяисчисление - Счет времени {Счет}
времяпрепровождение - Использование времени {Использование}
врубок - Кусок дерева {Кусок}
всеведение - Знание всего {Знание}
вседержитель - названий бога {названий}
вселенная - система мироздания {система}
всеобуч - обучение детей {обучение}
всепрощение - прощение всего {прощение}
всполье - Окраина поля {Окраина}
вспоможение - Оказание помощи {Оказание}
всходы - Ростки семян {Ростки}
всхожесть - Способность (семян {Способность}
втулка - деталь какого {деталь}
вузовец - Студент вуза {Студент}
вулканизация - Обработка каучука {Обработка}
вулканизм - Совокупность явлений {Совокупность}
вулканология - Отрасль геологии {Отрасль}
выборность - Замещение должностей {Замещение}
вывих - Смещение костей {Смещение}
выдел - Предоставление кому {Предоставление}
выдох - выталкивание воздуха {выталкивание}
выкидыш - прекращение беременности {прекращение}
выклинивание - утончение пласта {утончение}
выкрутасы - телодвижения па {телодвижения}
вымол - стадия помола {стадия}
вымысел - Создание воображения {Создание}
выползок - время линьки {время}
высотомер - приборов служащих {приборов}
выстрел - Взрыв заряда {Взрыв}
выхухоль - зверек отряда {зверек}
вычуры - узоры украшения {узоры}
вышибала - Служащий трактира {Служащий}
вьюрковые - птиц отряда {птиц}
вяза'нка - Связка (дров {Связка}
габарит - очертания предметов {очертания}
гадливость - Чувство отвращения {Чувство}
газ - Состояние вещества {Состояние}
газетчик - продавец газет {продавец}
газик - Автомобиль марки {Автомобиль}
газообмен - Процесс поглощения {Процесс}
гаитяне - Население Гаити {Население}
галлон - Мера объема {Мера}
галстук - Полоска ткани {Полоска}
галчонок - Птенец галки {Птенец}
гальванопластика - Осаждение металла {Осаждение}
гальванотехника - разделов электрохимии {разделов}
гам - гул голосов {гул}
гамаши - ткани чулок {ткани}
гамма - ряд каких {ряд}
гангрена - Омертвение какого {Омертвение}
гангстеризм - деятельности гангстеров {деятельности}
гардемарин - Звание воспитанника {Звание}
гарпунщик - Метатель гарпуна {Метатель}
гарт - Сплав свинца {Сплав}
гаршнеп - птица отряда {птица}
гарь - сгорании что {сгорании}
гачи - Половинки штанов {Половинки}
гвардеец - Военнослужащий гвардии {Военнослужащий}
гвардия - части войск {части}
гватемальцы - Население Гватемалы {Население}
гвинейцы - Население Гвинеи {Население}
гебраистика - Совокупность наук {Совокупность}
гегельянец - Последователь философии {Последователь}
гедонист - Последователь гедонизма {Последователь}
геккон - Пресмыкающееся отряда {Пресмыкающееся}
гелиогравюра - Способ воспроизведения {Способ}
гелиотехника - Отрасль науки {Отрасль}
гелиофизика - Раздел астрофизики {Раздел}
гемоглобин - вещество крови {вещество}
генеалогия - История рода {История}
генералитет - состав армии {состав}
гены - носители наследственности {носители}
география - Комплекс наук {Комплекс}
геологоразведка - исследование местности {исследование}
геометрия - Раздел математики {Раздел}
геофизика - Комплекс наук {Комплекс}
гепатит - заболеваний печени {заболеваний}
герб - знак государства {знак}
герлыга - посох пастуха {посох}
германистика - Совокупность наук {Совокупность}
гермафродитизм - Наличие признаков {Наличие}
гермошлем - шлем летчиков {шлем}
герпетология - Раздел зоологии {Раздел}
герц - Единица измерения {Единица}
гестаповец - Сотрудник гестапо {Сотрудник}
гигантизм - рост человека {рост}
гидрат - соединение окислов {соединение}
гидрид - соединение водорода {соединение}
гидроакустика - Раздел акустики {Раздел}
гидроаэромеханика - Раздел механики {Раздел}
гидрография - Раздел гидрологии {Раздел}
гидродинамика - Раздел гидромеханики {Раздел}
гидролокация - Определение местоположения {Определение}
гидрометаллургия - Извлечение металлов {Извлечение}
гидрометрия - Совокупность методов {Совокупность}
гидромеханизация - Способ производства {Способ}
гидромеханика - Раздел механики {Раздел}
гидроокиси - соединения окислов {соединения}
гидропоника - Выращивание растений {Выращивание}
гидростатика - Раздел гидромеханики {Раздел}
гидротехника - Отрасль науки {Отрасль}
гидроэнергетика - Раздел энергетики {Раздел}
гильдия - объединение купцов {объединение}
гимназист - Ученик гимназии {Ученик}
гиперемия - Прилив крови {Прилив}
гипертрофия - увеличение объема {увеличение}
гипоксия - Понижение содержания {Понижение}
гипотеза - объяснения каких {объяснения}
гипотермия - Понижение температуры {Понижение}
гипоцентр - точка очага {точка}
глава - Раздел какой {Раздел}
главковерх - Сокращение слов {Сокращение}
главком - Сокращение слова {Сокращение}
глаголь - буквы «Г {буквы}
глаз - Орган зрения {Орган}
гланды - Нёбные миндалины {Нёбные}
глаукома - Заболевание глаз {Заболевание}
