...борец - участник спортивных игр {участник} 	 type:NAN
агробиолог - Специалист по агробиологии {Специалист} 	 type:NPN
агрометеоролог - Специалист по агрометеорологии {Специалист} 	 type:NPN
агроном - Специалист по агрономии {Специалист} 	 type:NPN
агрохимик - Специалист по агрохимии {Специалист} 	 type:NPN
аденоиды - разрастание лимфатических образований {разрастание} 	 type:NAN
адинамия - Снижение двигательной активности {Снижение} 	 type:NAN
администрация - распорядительные органы управления {органы} 	 type:ANN 
адреналин - Гормон мозгового вещества {Гормон} 	 type:NAN
адъютантство - Пребывание в должности {Пребывание} 	 type:NPN
азурит - Минерал синего цвета {Минерал} 	 type:NAN
азям - верхняя одежда крестьян {одежда} 	 type:ANN 
аид - бог подземного царства {бог} 	 type:NAN
аил - посёлок кочевого типа {посёлок} 	 type:NAN
аист - птица отряда голенастых {птица} 	 type:NNA 
аист - перелётная птица отряда {птица} 	 type:ANN 
айран - продукт особой закваски {продукт} 	 type:NAN
академгородок - Комплекс научных институтов {Комплекс} 	 type:NAN
акваметрия - Определение количественного содержания {Определение} 	 type:NAN
аквилон - бог северного ветра {бог} 	 type:NAN
аккомодация - Приспособление к чему {Приспособление} 	 type:NPN
аккумулятор - Устройство для накопления {Устройство} 	 type:NPN
акр - Мера земельной площади {Мера} 	 type:NAN
акрихин - лекарственный противомалярийный препарат {препарат} 	 type:AAN 
аксамит - плотного узорчатого бархата {бархата} 	 type:AAN 
аксессуары - предметы сценической обстановки {предметы} 	 type:NAN
аксон - Отросток нервной клетки {Отросток} 	 type:NAN
активист - деятельный представитель какого {представитель} 	 type:ANN 
активность - участие в чём {участие} 	 type:NPN
актиния - животное класса коралловых полипов {животное} 	 type:NNAN 
актиния - кишечнополостное животное класса {животное} 	 type:ANN 
акупрессура - массаж путём воздействия {массаж} 	 type:NPN
акустик - Специалист в области {Специалист} 	 type:NPN
акциденция - преходящее несущественное свойство {свойство} 	 type:AAN 
алкалоид - вещество щелочного характера {вещество} 	 type:NAN
аллитерация - приём усиления звуковой выразительности {приём} 	 type:NNAN 
аллопатия - (традиционная система лечения {система} 	 type:ANN 
алоэ - субтропических травянистых растений {растений} 	 type:AAN 
алтарь - Место для жертвоприношений {Место} 	 type:NPN
алтейка - настой из корня {настой} 	 type:NPN
алтын - русская мелкая монета {монета} 	 type:AAN 
алфавит - Совокупность графических знаков {Совокупность} 	 type:NAN
алхимия - научной химии фармакологии {химии} 	 type:ANN 
альдегиды - соединения продукт неполного окисления {соединения} 	 type:NNAN 
альмавива - плащ особого покроя {плащ} 	 type:NAN
альманах - сборник литературных произведений {сборник} 	 type:NAN
альтернативщик - Приверженец альтернативного искусства {Приверженец} 	 type:NAN
альтиметр - Прибор для определения {Прибор} 	 type:NPN
альфа - буквы греческого алфавита {буквы} 	 type:NAN
альфа-распад - превращение атомного ядра {превращение} 	 type:NAN
амальгамация - Способ извлечения чистого металла {Способ} 	 type:NNAN 
амбал - сильном молодом мужчине {мужчине} 	 type:AAN 
амбар - постройка для хранения {постройка} 	 type:NPN
амнистия - высшим органом власти {органом} 	 type:ANN 
амортизация - снижение ценности основных фондов {снижение} 	 type:NNAN 
амперметр - Прибор для измерения {Прибор} 	 type:NPN
ампула - сосуд для хранения {сосуд} 	 type:NPN
ампула - небольшой стеклянный сосуд {сосуд} 	 type:AAN 
амфибия - Класс позвоночных животных {Класс} 	 type:NAN
анабиоз - замедление жизненных процессов {замедление} 	 type:NAN
анализ - Метод научного исследования {Метод} 	 type:NAN
аналогия - Сходство в каком {Сходство} 	 type:NPN
анатом - Специалист по анатомии {Специалист} 	 type:NPN
анафема - отлучение от церкви {отлучение} 	 type:NPN
англичанка - Англичанин английского языка {Англичанин} 	 type:NAN
аневризма - расширение кровеносного сосуда {расширение} 	 type:NAN
анемометр - Прибор для измерения {Прибор} 	 type:NPN
аника-воин - бойком задорном человеке {человеке} 	 type:AAN 
анкета - лист для получения {лист} 	 type:NPN
аномалия - Отклонение от нормы {Отклонение} 	 type:NPN
антабка - Скоба для ремня {Скоба} 	 type:NPN
антарктика - область земного шара {область} 	 type:NAN
антибиотики - Вещества биологического происхождения {Вещества} 	 type:NAN
антивирус - программа для компьютера {программа} 	 type:NPN
антик - памятник античного искусства {памятник} 	 type:NAN
антикомарин - Средство для отпугивания {Средство} 	 type:NPN
антимилитаризм - движение против политики {движение} 	 type:NPN
антифоны - Приспособления для защиты {Приспособления} 	 type:NPN
античастицы - Группа элементарных частиц {Группа} 	 type:NAN
антология - Сборник избранных произведений {Сборник} 	 type:NAN
антрепренёр - Содержатель частного театра {Содержатель} 	 type:NAN
антропогенез - Процесс историко формирования {Процесс} 	 type:NAN
антрополог - Специалист по антропологии {Специалист} 	 type:NPN
антропометрия - Совокупность приёмов антропологического исследования {Совокупность} 	 type:NNAN 
анфилада - ряд проходных комнат {ряд} 	 type:NAN
анчоус - рыба отряда сельдеобразных {рыба} 	 type:NNA 
анчоус - промысловая рыба отряда {рыба} 	 type:ANN 
аншлаг - Объявление у кассы {Объявление} 	 type:NPN
аорта - артерия кровеносной системы {артерия} 	 type:NAN
апатия - Состояние полного равнодушия {Состояние} 	 type:NAN
апелляция - обжалования судебных решений {обжалования} 	 type:NAN
апокалипсис - книг Нового завета {книг} 	 type:NAN
аполог - повествование из жизни {повествование} 	 type:NPN
апоплексия - кровоизлияние в какой {кровоизлияние} 	 type:NPN
апоселений - Точка орбиты искусственного спутника {Точка} 	 type:NNAN 
апоцентр - Точка орбиты небесного тела {Точка} 	 type:NNAN 
аппендикс - отросток слепой кишки {отросток} 	 type:NAN
апперцепция - Зависимость восприятия новых предметов {Зависимость} 	 type:NNAN 
аппликатор - приспособление для лечения {приспособление} 	 type:NPN
апрель - месяц календарного года {месяц} 	 type:NAN
аптека - Учреждение для приготовления {Учреждение} 	 type:NPN
ар - Мера земельной площади {Мера} 	 type:NAN
арак - напиток из сока {напиток} 	 type:NPN
аранжировка - Переложение музыкального произведения {Переложение} 	 type:NAN
араукария - вечнозелёных хвойных деревьев {деревьев} 	 type:AAN 
арбалет - ручное метательное оружие {оружие} 	 type:AAN 
арбитраж - орган для разрешения {орган} 	 type:NPN
аргали - дикий горный баран {баран} 	 type:AAN 
аргамак - породистых верховых лошадей {лошадей} 	 type:AAN 
арго - Речь какой небольшой {Речь} 	 type:NNA 
аргонавты - участниках научной экспедиции {участниках} 	 type:NAN
ареометр - Прибор для определения {Прибор} 	 type:NPN
ареопаг - Собрание авторитетных лиц {Собрание} 	 type:NAN
ариозо - ария свободного построения {ария} 	 type:NAN
аритмия - Нарушение нормального ритма {Нарушение} 	 type:NAN
арифмометр - ручной вычислительный прибор {прибор} 	 type:AAN 
аркада - сооружение из ряда {сооружение} 	 type:NPN
арктика - область земного шара {область} 	 type:NAN
арлекин - персонаж итальянской \"комедии {персонаж} 	 type:NAN
арматура - Комплект вспомогательных устройств {Комплект} 	 type:NAN
армия - Совокупность вооружённых сил {Совокупность} 	 type:NAN
армяк - верхняя одежда крестьян {одежда} 	 type:ANN 
арт-терапия - Метод лечения нервных {Метод} 	 type:NNA 
артиллерист - Военнослужащий артиллерийских войск {Военнослужащий} 	 type:NAN
артиллерия - орудия различных конструкций {орудия} 	 type:NAN
архангел - ангел высшего чина {ангел} 	 type:NAN
археограф - Специалист по археографии {Специалист} 	 type:NPN
археолог - Специалист по археологии {Специалист} 	 type:NPN
археоптерикс - птица юрского периода {птица} 	 type:NAN
археоциаты - животные кембрийского периода {животные} 	 type:NAN
архетип - текст письменного памятника {текст} 	 type:NAN
архивольт - Обрамление арочного проёма {Обрамление} 	 type:NAN
архипастырь - высших чинов духовенства {чинов} 	 type:ANN 
архитектор - Специалист в области {Специалист} 	 type:NPN
аршин - русская мера длины {мера} 	 type:ANN 
ас - боевому мастерству лётчик {мастерству} 	 type:ANN 
асбест - огнеупорный минерал класса {минерал} 	 type:ANN 
асессорша - Жена коллежского асессора {Жена} 	 type:NAN
аскариды - Семейство круглых червей {Семейство} 	 type:NAN
асмодей - глава демонов злой {глава} 	 type:NNA 
аспид - сланца чёрно цвета {сланца} 	 type:NAN
аспирантура - Система подготовки профессорско-преподавательских {Система} 	 type:NNA 
аспиратор - Прибор для взятия {Прибор} 	 type:NPN
ассириолог - Специалист по ассириологии {Специалист} 	 type:NPN
ассорти - Набор однородных продуктов {Набор} 	 type:NAN
астеносфера - Слой пониженной твёрдости {Слой} 	 type:NAN
астигматизм - Недостаток оптической системы {Недостаток} 	 type:NAN
астра - травянистое декоративное растение {растение} 	 type:AAN 
астрагал - Деталь сложного профиля {Деталь} 	 type:NAN
астрограф - Прибор для фотографирования {Прибор} 	 type:NPN
астродатчик - Прибор летательного аппарата {Прибор} 	 type:NAN
астродинамика - Раздел небесной механики {Раздел} 	 type:NAN
астрокомпас - Прибор для определения {Прибор} 	 type:NPN
астролябия - прибор для определения {прибор} 	 type:NPN
астронавигация - Раздел практической астрономии {Раздел} 	 type:NAN
астроном - Специалист по астрономии {Специалист} 	 type:NPN
астроориентация - Ориентация летательного аппарата {Ориентация} 	 type:NAN
астрофотометр - прибор для измерения {прибор} 	 type:NPN
асфальтобетон - Материал из смеси {Материал} 	 type:NPN
атавизм - Появление у человека {Появление} 	 type:NPN
атака - наступательное движение войск {движение} 	 type:ANN 
атлас - Сборник географических карт {Сборник} 	 type:NAN
атлетика - Совокупность гимнастических упражнений {Совокупность} 	 type:NAN
атолл - остров кольцеобразной формы {остров} 	 type:NAN
атом - частица химического элемента {частица} 	 type:NAN
атрибут - существенное неотъемлемое свойство {свойство} 	 type:AAN 
атрибут - неотъемлемое свойство предмета {свойство} 	 type:ANN 
атрибутика - существенные отличительные признаки {признаки} 	 type:AAN 
атташе - Сотрудник дипломатического представительства {Сотрудник} 	 type:NAN
аттракцион - номер для развлечений {номер} 	 type:NPN
аудиокассета - кассета для записи {кассета} 	 type:NPN
аудит - Проверка финансовой деятельности {Проверка} 	 type:NAN
аудитория - Помещение для чтения {Помещение} 	 type:NPN
аутодафе - акт торжественного оглашения {акт} 	 type:NAN
ахроматизм - Свойство оптических стекол {Свойство} 	 type:NAN
ацетат - эфир уксусной кислоты {эфир} 	 type:NAN
ацетилен - горючий ядовитый газ {газ} 	 type:AAN 
ацтеки - крупная индейская народность {народность} 	 type:AAN 
ацтеки - индейская народность Мексики {народность} 	 type:ANN 
аэрарий - Сооружение для принятия {Сооружение} 	 type:NPN
аэробус - самолёт большой вместимости {самолёт} 	 type:NAN
аэровокзал - Здание для обслуживания {Здание} 	 type:NPN
аэролог - Специалист по аэрологии {Специалист} 	 type:NPN
аятолла - духовный титул учёного {титул} 	 type:ANN 
б - буква русского алфавита {буква} 	 type:NAN
бабка - определённым образом снопов {образом} 	 type:ANN 
бабуши - туфли без задников {туфли} 	 type:NPN
бабёнка - бойкой молодой женщине {женщине} 	 type:AAN 
багажник - Приспособление у велосипеда {Приспособление} 	 type:NPN
багги - высокоманевренный спортивный автомобиль {автомобиль} 	 type:AAN 
багет - планка для изготовления {планка} 	 type:NPN
багряница - Мантия багряного цвета {Мантия} 	 type:NAN
бадья - металлическое широкое ведро {ведро} 	 type:AAN 
база - Совокупность каких материальных ценностей {Совокупность} 	 type:NNAN 
базаровщина - проявлениях крайнего практицизма {проявлениях} 	 type:NAN
байбак - грызун из рода {грызун} 	 type:NPN
байдарка - лодка без уключин {лодка} 	 type:NPN
байдарка - узкая спортивная лодка {лодка} 	 type:AAN 
байка - ворсистая хлопчатобумажная ткань {ткань} 	 type:AAN 
байрам - трёхдневных мусульманских праздников {праздников} 	 type:AAN 
бакалавр - преподаватель духовной академии {преподаватель} 	 type:NAN
бакалея - товары продовольственного магазина {товары} 	 type:NAN
бакалея - (сухие продовольственные товары {товары} 	 type:AAN 
баккара - азартная карточная игра {игра} 	 type:AAN 
баклан - птица отряда веслоногих {птица} 	 type:NNA 
баклан - водоплавающая птица отряда {птица} 	 type:ANN 
бактериолог - Специалист по бактериологии {Специалист} 	 type:NPN
балабан - духовой язычковый инструмент {инструмент} 	 type:AAN 
балалайка - народный щипковый инструмент {инструмент} 	 type:AAN 
балда - бестолковом глупом человеке {человеке} 	 type:AAN 
балка - опорный брус какого {брус} 	 type:ANN 
балканистика - Совокупность научных дисциплин {Совокупность} 	 type:NAN
балкон - наружной стороны здания {стороны} 	 type:ANN 
баллада - Жанр лирической поэзии {Жанр} 	 type:NAN
балласт - груз для обеспечения {груз} 	 type:NPN
балластер - Машина для укладки {Машина} 	 type:NPN
баллиста - машина для метания {машина} 	 type:NPN
балтиец - Моряк Балтийского флота {Моряк} 	 type:NAN
бальнеолог - Специалист по бальнеологии {Специалист} 	 type:NPN
бамбук - быстрорастущее высокое растение {растение} 	 type:AAN 
бампер - устройство с передней {устройство} 	 type:NPN
банан - тропическое травянистое растение {растение} 	 type:AAN 
банановоз - Судно для перевозки {Судно} 	 type:NPN
банда - Группа вооружённых людей {Группа} 	 type:NAN
бандаж - пояс для укрепления {пояс} 	 type:NPN
банджо - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
бандура - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
банка - Доска для сидения {Доска} 	 type:NPN
банка - сосуд цилиндрической формы {сосуд} 	 type:NAN
банкет - возвышение из грунта {возвышение} 	 type:NPN
банкетка - скамейка без спинки {скамейка} 	 type:NPN
банкомат - устройство для получения {устройство} 	 type:NPN
банлон - полиамидного синтетического волокна {волокна} 	 type:AAN 
банник - Щётка цилиндрической формы {Щётка} 	 type:NAN
бар - Единица измерения атмосферного давления {Единица} 	 type:NNAN 
барабашка - легкомысленном болтливом человеке {человеке} 	 type:AAN 
барабулька - промысловая рыбка отряда {рыбка} 	 type:ANN 
баран - Самец домашней овцы {Самец} 	 type:NAN
бареж - лёгкая прозрачная ткань {ткань} 	 type:AAN 
барисфера - центральное ядро Земли {ядро} 	 type:ANN 
барич - Сын барина молодой {Сын} 	 type:NNA 
барка - судно без палубы {судно} 	 type:NPN
барка - плоскодонное речное судно {судно} 	 type:AAN 
баркарола - Песня венецианских гондольеров {Песня} 	 type:NAN
баркас - многовёсельная корабельная шлюпка {шлюпка} 	 type:AAN 
барометр - Прибор для измерения {Прибор} 	 type:NPN
баротравма - Травма среднего уха {Травма} 	 type:NAN
барраж - Заграждение из аэростатов {Заграждение} 	 type:NPN
барракуда - рыба отряда кефалеобразных {рыба} 	 type:NNA 
барракуда - хищная рыба отряда {рыба} 	 type:ANN 
баррикада - Сооружение из брёвен {Сооружение} 	 type:NPN
бартеризация - Проникновение бартерных отношений {Проникновение} 	 type:NAN
барщина - повинностей крепостных крестьян {повинностей} 	 type:NAN
баскак - представитель ханской власти {представитель} 	 type:NAN
басма - краска для волос {краска} 	 type:NPN
бассейн - водоём для плавания {водоём} 	 type:NPN
бастард - сын высокопоставленного лица {сын} 	 type:NAN
батист - ткань полотняного переплетения {ткань} 	 type:NAN
батман - упражнение для ног {упражнение} 	 type:NPN
батометр - Прибор для взятия {Прибор} 	 type:NPN
батон - хлеб продолговатой формы {хлеб} 	 type:NAN
баттерфляй - плавания на груди {плавания} 	 type:NPN
батька - Батя вооружённых формирований {Батя} 	 type:NAN
бахчеводство - Выращивание бахчевых культур {Выращивание} 	 type:NAN
бахчевые - растениях семейства тыквенных {растениях} 	 type:NNA 
баядерка - индийской профессиональной танцовщицы {танцовщицы} 	 type:AAN 
бдение - времяпрепровождении за каким {времяпрепровождении} 	 type:NPN
бдение - длительном утомительном времяпрепровождении {времяпрепровождении} 	 type:AAN 
бегунок - Деталь крутильного механизма {Деталь} 	 type:NAN
бедняк - малоимущий человек человек {человек} 	 type:ANN 
безвкусица - Отсутствие хорошего вкуса {Отсутствие} 	 type:NAN
бездарность - Бездарный бездарном человеке {человеке} 	 type:AAN 
безлуние - Отсутствие видимой луны {Отсутствие} 	 type:NAN
безнадёга - состоянии полной безнадёжности {состоянии} 	 type:NAN
безобразие - некрасивая внешность уродство {внешность} 	 type:ANN 
безрассудство - Отсутствие здравого смысла {Отсутствие} 	 type:NAN
бекасинник - дроби для стрельбы {дроби} 	 type:NPN
бекон - свинина особой разделки {свинина} 	 type:NAN
бел - единица для сопоставления {единица} 	 type:NPN
белизна - белый цвет чего {цвет} 	 type:ANN 
белка - пушной зверёк отряда {зверёк} 	 type:ANN 
белки - оболочки глаз белого цвета {оболочки} 	 type:NNAN 
белки - непрозрачные оболочки глаз {оболочки} 	 type:ANN 
белоглазка - птица отряда воробьиных {птица} 	 type:NNA 
бельевая - Кладовая для хранения {Кладовая} 	 type:NPN
бельканто - Стиль вокального исполнения {Стиль} 	 type:NAN
бельэтаж - лучший парадный этаж {этаж} 	 type:AAN 
бельэтаж - парадный этаж здания {этаж} 	 type:ANN 
бензин - горючая жидкость продукт {жидкость} 	 type:ANN 
бензовоз - Автоцистерна для перевозки {Автоцистерна} 	 type:NPN
бензозаправщик - Автоцистерна для заправки {Автоцистерна} 	 type:NPN
бензол - летучая огнеопасная жидкость {жидкость} 	 type:AAN 
бензопровод - Трубопровод для транспортировки {Трубопровод} 	 type:NPN
бензорез - Аппарат для резки {Аппарат} 	 type:NPN
бергамот - вечнозелёное цитрусовое дерево {дерево} 	 type:AAN 
береговик - Моряк береговой службы {Моряк} 	 type:NAN
берендеи - племя тюркского происхождения {племя} 	 type:NAN
берет - убор без полей {убор} 	 type:NPN
берет - круглый головной убор {убор} 	 type:AAN 
берковец - русская мера веса {мера} 	 type:ANN 
беседка - постройка для отдыха {постройка} 	 type:NPN
бесквартирье - Отсутствие собственной квартиры {Отсутствие} 	 type:NAN
бескозырка - фуражка без козырька {фуражка} 	 type:NPN
бесовка - Бес беса озорной {Бес} 	 type:NNA 
бесовщина - сверхъестественном загадочном событии {событии} 	 type:AAN 
беспоповщина - основных течений старообрядчества {течений} 	 type:ANN 
бессознательное - Совокупность бессознательных процессов {Совокупность} 	 type:NAN
бестарка - Повозка для перевозки {Повозка} 	 type:NPN
бестужевка - Студентка бестужевских курсов {Студентка} 	 type:NAN
бесчинство - нарушение порядка общепринятых норм {нарушение} 	 type:NNAN 
бета - буквы греческого алфавита {буквы} 	 type:NAN
бета-распад - превращение атомного ядра {превращение} 	 type:NAN
бетатрон - Установка для ускорения {Установка} 	 type:NPN
бетоноукладчик - машина для укладки {машина} 	 type:NPN
бешамель - соус из яиц {соус} 	 type:NPN
библиограф - Специалист по библиографии {Специалист} 	 type:NPN
библия - Свод священных книг {Свод} 	 type:NAN
бигамия - Наличие сексуальных отношений {Наличие} 	 type:NAN
биде - устройство для мытья {устройство} 	 type:NPN
бидон - сосуд цилиндрической формы {сосуд} 	 type:NAN
бижутерия - украшения из металлов {украшения} 	 type:NPN
бикс - коробка для стерилизации {коробка} 	 type:NPN
билирубин - пигмент красно-коричневого цвета {пигмент} 	 type:NAN
бильярдная - помещение для игры {помещение} 	 type:NPN
бинт - лента из марли {лента} 	 type:NPN
биокорректор - Специалист по биокоррекции {Специалист} 	 type:NPN
биокрем - крем для кожи {крем} 	 type:NPN
биолог - Специалист по биологии {Специалист} 	 type:NPN
биолокаторщик - Специалист по биолокации {Специалист} 	 type:NPN
биомасса - Масса живых организмов {Масса} 	 type:NAN
биотехнология - Совокупность промышленных методов {Совокупность} 	 type:NAN
биоткань - Совокупность клеток животного {Совокупность} 	 type:NNA 
биохимик - Специалист по биохимии {Специалист} 	 type:NPN
биоэнергия - Энергия разных видов {Энергия} 	 type:NAN
биржа - Учреждение для заключения {Учреждение} 	 type:NPN
бирюк - нелюдимом угрюмом человеке {человеке} 	 type:AAN 
бисер - мелкие цветные бусинки {бусинки} 	 type:AAN 
бисерина - бусинка бисера чём {бусинка} 	 type:NPN
битник - Представитель молодёжного движения {Представитель} 	 type:NAN
битюг - Порода рабочих лошадей {Порода} 	 type:NAN
благотворительность - Оказание материальной помощи {Оказание} 	 type:NAN
блайзер","блейзер - пиджак спортивного покроя {пиджак} 	 type:NAN
бланманже - Желе из сливок {Желе} 	 type:NPN
блесна - Приманка для ловли {Приманка} 	 type:NPN
блок - Объединение однородных предметов {Объединение} 	 type:NAN
блок-секция - объёмный элемент конструкции {элемент} 	 type:ANN 
блюз - танец свободной композиции {танец} 	 type:NAN
блюминг - стан для обжима {стан} 	 type:NPN
блядство - Распутство разврат чём {Распутство} 	 type:NPN
блёстки - тонкие блестящие пластинки {пластинки} 	 type:AAN 
блёстки - блестящие пластинки чешуйки {пластинки} 	 type:ANN 
боб - сани для бобслея {сани} 	 type:NPN
бобовые - Семейство двудольных растений {Семейство} 	 type:NAN
бобы - травянистое огородное растение {растение} 	 type:AAN 
богатство - Обилие материальных ценностей {Обилие} 	 type:NAN
богатырка - сильной рослой женщине {женщине} 	 type:AAN 
богдыхан - Титул китайского императора {Титул} 	 type:NAN
богема - Слой творческой интеллигенции {Слой} 	 type:NAN
богомоловые - Отряд хищных насекомых {Отряд} 	 type:NAN
богослужение - Совершение религиозных обрядов {Совершение} 	 type:NAN
богоявление - названий христианского праздника {названий} 	 type:NAN
боевик - Член вооружённого формирования {Член} 	 type:NAN
боезаряд - Количество взрывчатого вещества {Количество} 	 type:NAN
боец - Военнослужащий военизированной организации {Военнослужащий} 	 type:NAN
бой-баба - бойкой энергичной женщине {женщине} 	 type:AAN 
бой-девка - бойкой энергичной девушке {девушке} 	 type:AAN 
бойкот - частичное прекращение отношений {прекращение} 	 type:ANN 
бойлер - Устройство для подогрева {Устройство} 	 type:NPN
бойлерная - Помещение для бойлера {Помещение} 	 type:NPN
бокал - Сосуд для вина {Сосуд} 	 type:NPN
болельщик - любитель спортивных состязаний {любитель} 	 type:NAN
болид - яркий крупный метеор {метеор} 	 type:AAN 
болонья - ткань для плащей {ткань} 	 type:NPN
болонья - капроновая водоотталкивающая ткань {ткань} 	 type:AAN 
болотник - травянистом болотном растении {растении} 	 type:AAN 
болотоведение - Раздел физической географии {Раздел} 	 type:NAN
болтовня - непринуждённый разговор рассуждения {разговор} 	 type:ANN 
боль - Ощущение физического страдания {Ощущение} 	 type:NAN
большак - широкая грунтовая дорога {дорога} 	 type:AAN 
большевизм - течение политической теории {течение} 	 type:NAN
большевик - Член большевистской партии {Член} 	 type:NAN
большегруз - большегрузном транспортном средстве {средстве} 	 type:AAN 
бомбарда - пушка небольшого калибра {пушка} 	 type:NAN
бомбодержатель - Приспособление для подвески {Приспособление} 	 type:NPN
бомбомёт - орудие ближнего боя {орудие} 	 type:NAN
бомбоубежище - укрытие для защиты {укрытие} 	 type:NPN
бонапартизм - Диктатура реакционных кругов {Диктатура} 	 type:NAN
бонна - воспитательница маленьких детей {воспитательница} 	 type:NAN
борей - холодном северном ветре {ветре} 	 type:AAN 
бормашина - аппарат для обтачивания {аппарат} 	 type:NPN
бормотуха - вино низкого качества {вино} 	 type:NAN
бортмеханик - Член лётного экипажа {Член} 	 type:NAN
бортовка - ткань для прокладки {ткань} 	 type:NPN
бортпаёк - Паёк для членов {Паёк} 	 type:NPN
борщ - кушанье из свёклы {кушанье} 	 type:NPN
бот - судно различного назначения {судно} 	 type:NAN
ботанизирка - коробка для укладывания {коробка} 	 type:NPN
ботвинья - кушанье из кваса {кушанье} 	 type:NPN
бочкотара - бочки для хранения {бочки} 	 type:NPN
боярщина - время правления влиятельных бояр {время} 	 type:NNAN 
брага - смесь из воды {смесь} 	 type:NPN
брамсель - верхний (прямой парус {парус} 	 type:AAN 
брамсель - (прямой парус судна {парус} 	 type:ANN 
брандахлыст - жидкое плохое питьё {питьё} 	 type:AAN 
брандмейстер - Начальник пожарной команды {Начальник} 	 type:NAN
брандспойт - наконечник гибкого шланга {наконечник} 	 type:NAN
брасс - Способ спортивного плавания {Способ} 	 type:NAN
братина - большой шаровидный сосуд {сосуд} 	 type:AAN 
брезентовка - Спецодежда из брезента {Спецодежда} 	 type:NPN
брейд-вымпел - флаг установленного образца {флаг} 	 type:NAN
бремя - ноша груз чём {ноша} 	 type:NPN
бриджи - Брюки особого покроя {Брюки} 	 type:NAN
бриллиантин","брильянтин - средство для придания {средство} 	 type:NPN
бриолин - средство для ухода {средство} 	 type:NPN
бриошь - булочка круглой формы {булочка} 	 type:NAN
бритва - Инструмент для бритья {Инструмент} 	 type:NPN
