абазины - инец Народ {инец}
аукционер - Участник аукциона {Участник}
аут - возглас судьи {возглас}
африканистика - Совокуп наук {Совокуп}
ацетаты - ацетат целлюлозы {ацетат}
аэрация - Насыщение воды {Насыщение}
аэровокзал - Вокзал аэропорта {Вокзал}
аэродинамика - Раздел аэромеханики {Раздел}
аэродром - Комплекс сооружений {Комплекс}
аэромеханика - Раздел механики {Раздел}
аэростатика - Раздел аэромеханики {Раздел}
аэрофотосъёмка - Фотографирование местности {Фотографирование}
аятолла - направлении ислама {направлении}
бабуши - бабуша Род {бабуша}
бабушка - Мать отца {Мать}
багаж - Запас знаний {Запас}
багульник - запахом кустарничек {запахом}
база - Основание сооружения {Основание}
бак - надстройка судна {надстройка}
баклуши - баклуши т {баклуши}
бактериолотия - Раздел микробиологии {Раздел}
баланс - итог прихода {итог}
балансир - Регулятор хода {Регулятор}
балерина - Артистка балета {Артистка}
балетоман - любитель балета {любитель}
балканистика - Совокупность наук {Совокупность}
балкон - стены здания {стены}
балл - Единица оценки {Единица}
балл - отметка успехов {отметка}
баллон - Оболочка аэростата {Оболочка}
баловень - Человек к {Человек}
бальзам - коре нек {коре}
бальнеолотия - Раздел медицины {Раздел}
балясина - столбик перил {столбик}
бампер - Буфер автомобиля {Буфер}
бандит - Участник банды {Участник}
бандитизм - деятельность бандитов {деятельность}
баня - Мытье людей {Мытье}
баптист - Последователь баптизма {Последователь}
барабан - цилиндр формы {цилиндр}
баранка - колесо автомобиля {колесо}
барахольщик - разг пренебр {разг}
барашек - шка м {шка}
баржа - барж род {барж}
барин - господа -од {господа}
барич - Сын барина {Сын}
бармы - барм Род {барм}
баррель - Мера вместимости {Мера}
барсучиха - Самка барсука {Самка}
бархатцы - бархатец -тца {бархатец}
барчонок - нка -чата {нка}
барьер - Преграда (род {Преграда}
барьер - невозможность общения {невозможность}
бассейн - Совокупность притоков {Совокупность}
бассейн - Область залегания {Область}
басурман - ане род {ане}
бахчеводство - Отрасль растениеводства {Отрасль}
башкиры - ир (Башкортостана {ир}
баядера","баядерка - дэ -ы {дэ}
бега - Состязания гонки {Состязания}
бегство - уход откуда {уход}
беда - беды бед {беды}
бедняга - сожаления человек {сожаления}
бедро - бедра бедер {бедра}
безалаберщина - состояние чего {состояние}
безбожие - Отрицание существования {Отрицание}
безбрачие - Сохранение девственности {Сохранение}
безветрие - отсутствие ветра {отсутствие}
безвластие - Отсутствие власти {Отсутствие}
бездарь - разг пренебр {разг}
бездействие - Отсутствие деятельности {Отсутствие}
бездождье - Отсутствие дождей {Отсутствие}
безземелье - Недостаток земли {Недостаток}
безлюдье - Отсутствие людей {Отсутствие}
безначалие - Отсутствие власти {Отсутствие}
безобразие - внешность уродство {внешность}
безработица - Наличие безработных {Наличие}
бейка - Полоска ткани {Полоска}
белок - оболочка глаза {оболочка}
бельгийцы - иец -ийца {иец}
бельмо - бельма бельм {бельма}
белёк - лька тюленя {лька}
бензин - Смесь легких {Смесь}
бенуар - Ряд лож {Ряд}
берберы - ер Африки {ер}
берег - Край земли {Край}
беременность - Состояние женщины {Состояние}
берлога - логовище медведя {логовище}
бескормица - Недостаток кормов {Недостаток}
бескультурье - Отсутствие культуры {Отсутствие}
беспокойство - Нарушение покоя {Нарушение}
бесправие - Отсутствие законности {Отсутствие}
беспредел - степень беззакония {степень}
бессилие - Отсутствие сил {Отсутствие}
бессилие - Отсутствие возможности {Отсутствие}
бессмертие - существование души {существование}
бесстрастие - Отсутствие страстности {Отсутствие}
бесстрашие - Отсутствие страха {Отсутствие}
бесчестье - Поругание чести {Поругание}
бесчинство - нарушение порядка {нарушение}
бесёнок - нка -енят {нка}
бешенство - степень раздражения {степень}
библиография - Перечень книг {Перечень}
библиотека - Собрание книг {Собрание}
библиотека - серии книг {серии}
библиотекарь - Работник библиотеки {Работник}
биограф - Составитель биографии {Составитель}
биография - Описание чьей {Описание}
биолотия - Совокупность наук {Совокупность}
бионика - Раздел кибернетики {Раздел}
биопсия - Иссечение кусочка {Иссечение}
биржа - Склад лесоматериалов {Склад}
биржа - стоянка извозчиков {стоянка}
бирюк - Волк (обл {Волк}
бисерина - Зерно бисера {Зерно}
битки - биток котлеты {биток}
бифштекс - кусок говядины {кусок}
благ - блага благ {блага}
благоверный - разг шутл {разг}
благодарность - Чувство признательности {Чувство}
благорастворение - благора воздухов {благора}
блат - язык воров {язык}
блат - Знакомство связи {Знакомство}
блесна - блесны блесен {блесны}
ближний - яя -ее {яя}
ближний - ближний родня {ближний}
блок - блокирование спортсмена {блокирование}
блокада - Окружение войск {Окружение}
блокада - Отключение какого {Отключение}
блоха - блохи блох {блохи}
блюдо - блюда блюд {блюда}
боб - Плод растения {Плод}
бобина - катушки валика {катушки}
бобрёнок - нка -рят {нка}
бог - бох бога {бох}
бог - Предмет поклонения {Предмет}
богатырь - Герой русских {Герой}
богословие - Совокупность доктрин {Совокупность}
бодряк - разг шутл {разг}
боевой - ведению боя {ведению}
боекомплект - Количество боеприпасов {Количество}
боец - Участник боя {Участник}
бойкот - Прекращение отношений {Прекращение}
бок - сторона туловища {сторона}
бок - сторон предмета {сторон}
болван - обрубок дерева {обрубок}
болван - расправления шляп {расправления}
болгары - ар народ {ар}
болезнь - Расстройство здоровья {Расстройство}
болото - участок земли {участок}
болтолотия - разг шутл {разг}
боль - Ощущение страдания {Ощущение}
бомбардир - звание артиллериста {звание}
боны - бон заграждения {бон}
боны - бон бона {бон}
борзописец - ирон Человек {ирон}
боров - самец свиньи {самец}
борода - вин бород {вин}
борода - пучок волос {пучок}
борозда - вин борозд {вин}
борона - вин почвы {вин}
борт - стенка корпуса {стенка}
борт - край шоссе {край}
бортничество - Добывание меда {Добывание}
босячество - Образ жизни {Образ}
ботинки - нок -нка {нок}
боцман - моряков речников {моряков}
бочка - мера жидкостей {мера}
боярыня - Жена боярина {Жена}
бравада - Поведение того {Поведение}
брак - обрядом бракосочетания {обрядом}
бракераж - Проверка предметов {Проверка}
брандмайор - Начальник пожарных {Начальник}
брата - напиток род {напиток}
братоубийство - Убийство брата {Убийство}
бревно - бревна бревен {бревна}
бред - речь больного {речь}
бригадир - Руководитель бригады {Руководитель}
британцы - Населе Великобритании {Населе}
бровка - Край дороги {Край}
бровь - лоска волос {лоска}
брожение - Процесс расщепления {Процесс}
брожение - Проявление недовольства {Проявление}
бронза - Сплав меди {Сплав}
бронхи - бронх ветви {бронх}
бронхит - Воспаление бронхов {Воспаление}
брызги - Капли жидкости {Капли}
брюхо - Живот животного {Живот}
брюхо - Живот человека {Живот}
брюшко - отдел тела {отдел}
буддизм - странах Востока {странах}
буддист - Последователь буддизма {Последователь}
будуар - Гостиная хозяйки {Гостиная}
буй - буи буев {буи}
буйволица - Самка буйвола {Самка}
буйволёнок - нка буйвола {нка}
буквоед - пренебр Человек {пренебр}
букет - свойства чего {свойства}
булгакиана - Серия произведений {Серия}
бульдозерист - Машинист бульдозера {Машинист}
бумажка - Листок бумаги {Листок}
бундесвер - дэ силы {дэ}
бунтовщик - Участник бунта {Участник}
буржуазия - класс собственников {класс}
бурсах - Ученик бурсы {Ученик}
бутерброд - Ломтик хлеба {Ломтик}
бутон - Почка цветка {Почка}
бутылка - мера жидкости {мера}
буфы - буф буф {буф}
бухгалтетия - Отдел предприятия {Отдел}
бушель - мера вместимости {мера}
бык - опора моста {опора}
былинка - Стебель травы {Стебель}
быльё - собир (обл {собир}
бытовизм - Описание быта {Описание}
бытописание - Описание быта {Описание}
бычок - чка м {чка}
бюджет - Роспись доходов {Роспись}
бюджет - -н средства {-н}
бюрократия - Система управления {Система}
бюст - изображение головы {изображение}
бяка - речи что {речи}
вагоновожатый - Водитель трамвая {Водитель}
вагоностроение - Производство вагонов {Производство}
вакханалия - степень беспорядка {степень}
вакханка - жрица Вакха {жрица}
вал - объем продукции {объем}
валенки - нок -нка {нок}
валентность - Способность атома {Способность}
валки - валок -лка {валок}
валюта - система страны {система}
вандал - аРазрушитель культуры {аРазрушитель}
вариация - видоизменение темы {видоизменение}
ватага - артель (обл {артель}
ватрушка - пирога пирожка {пирога}
вафельница - выпечки вафель {выпечки}
вахтенный - вахтенный -ого {вахтенный}
вдова - вдовы вдов {вдовы}
вдовство - Состояние вдовы {Состояние}
вдохнуты - -нешь сов {-нешь}
вегетарианец - рья Человек {рья}
ведро - ведра ведер {ведра}
ведро - мера жидкостей {мера}
везунчик","везунок - ВЕЗУНОК -нка {ВЕЗУНОК}
венерология - Раздел медицины {Раздел}
веник - Связка веток {Связка}
вентиляция - воздухообмен помещений {воздухообмен}
венчание - обряд бракосочетания {обряд}
верблюдица - Самка верблюда {Самка}
верблюжонок - нка -жат {нка}
вердикт - Решение присяжных {Решение}
вероучение - Совокупность догматов {Совокупность}
вероятность - Возможность исполнения {Возможность}
верста - версты верст {версты}
верста - мера длины {мера}
верстак - стол слесарной {стол}
вертеп - Притон преступников {Притон}
вертикаль - линия подчинения {линия}
вертушка - аппаратов приспособлений {аппаратов}
верфь - Место постройки {Место}
верх - Крыша экипажа {Крыша}
верх - сторона одежды {сторона}
верх - круги общества {круги}
верх - сторона явлений {сторона}
вершок - шка кто {шка}
вес - Количество вещества {Количество}
весна - весны весен {весны}
весновспашка - вспашка полей {вспашка}
ветвь - линия родства {линия}
ветла - ветлы ветел {ветлы}
ветчина - обозначении сортов {обозначении}
вече - собрание горожан {собрание}
вечер - Встреча друзей {Встреча}
вещь - произведении науки {произведении}
вжик - знач скоз {знач}
взаимность - чувство любви {чувство}
взаимодействие - связь явлений {связь}
взаимоотношение - отношения Взаимоотношения {отношения}
взвод - Подразделение роты {Подразделение}
взгляд - Направленность зрения {Направленность}
взгляд - Выражение глаз {Выражение}
вздыхатель - устар шутл {устар}
взнос - уплату чего {уплату}
взрослый - взрослый -ого {взрослый}
взрослый - полн ф {полн}
взрыв - разрушение чего {разрушение}
взятка - карты игрока {карты}
вид - категория глагола {категория}
видеозапись - Запись (см {Запись}
византиноведение - Совокупность наук {Совокупность}
визирь - титул министра {титул}
викарий - помощник священника {помощник}
вилка - устройств приспособлений {устройств}
вина - вины вин {вины}
вино - вина вин {вина}
виновный - -вен -вна {-вен}
виноградарство - Разведение винограда {Разведение}
виноградина - Ягода винограда {Ягода}
винокурение - Производство спирта {Производство}
виолончелист - Музыкант иг {Музыкант}
вираж - Полет самолета {Полет}
вираж - поворот трека {поворот}
вискоза - Продукт переработки {Продукт}
висок - ска черепа {ска}
витийство - Искусство витии {Искусство}
виток - оборот спирали {оборот}
виток - цикл каких {цикл}
вихрь - движение ветра {движение}
вице-адмирал - звание генерал-лейтенанта {звание}
вишенник - собир (обл {собир}
вкладыш - что (напр {что}
вкус - чувств человека {чувств}
вкусовщина - Оценка каких {Оценка}
владыка - Титулование архиерея {Титулование}
влажность - Наличие влаги {Наличие}
власяница - одежда монаха {одежда}
вложение - сумма денег {сумма}
вмятина - место вдавлина {место}
внешность - облик человека {облик}
внимание - Сосредоточенность мыслей {Сосредоточенность}
внук - Сын сына {Сын}
внук - Дети сына {Дети}
внучка - Дочь сына {Дочь}
вода - вин вод {вин}
вода - Моря реки {Моря}
вода - Потоки струи {Потоки}
водность - Наличие воды {Наличие}
водозабор - Забор воды {Забор}
водопой - Поение скота {Поение}
водопровод - Система сооружений {Система}
водохлёб - разг шутл {разг}
водоём - Место скопления {Место}
водь - собир Народ {собир}
военный - военный теории {военный}
вождь - Глава племени {Глава}
вождь - руководитель масс {руководитель}
воздух - Смесь газов {Смесь}
воззрение - Образ мыслей {Образ}
возлияние - принесение вина {принесение}
возня - деятельность интриги {деятельность}
возчик - Перевозчик грузов {Перевозчик}
вой - крик нек {крик}
война - войны войн {войны}
войско - войска войск {войска}
войско - силы государства {силы}
волгарь - Уроженец Поволжья {Уроженец}
волжанин - -ане -ан {-ане}
волна - волны волн {волны}
волнение - Движение волн {Движение}
волнение - выражение недовольства {выражение}
волокита - затягивание дела {затягивание}
волокно - окна -окон {окна}
волос - ос чсто {ос}
волосинка - волос шутл {волос}
волшебник - Колдун чародей {Колдун}
волшебник - Человек чем {Человек}
волшебство - действие кого {действие}
воля - волею кого {волею}
вона - мест нареч {мест}
вооружение - Совокупность средств {Совокупность}
вооружённость - Оснащенность чем {Оснащенность}
вопросник - Перечень вопросов {Перечень}
вор - вор мира {вор}
воробьиха - Самка воробья {Самка}
воровство - Занятие вора {Занятие}
вороной - масти животных {масти}
воронёнок - нка -нят {нка}
воспитание - Навыки поведения {Навыки}
воспоминание - воспроизведение чего {воспроизведение}
восприятие - отражения действительности {отражения}
восток - стран света {стран}
востоковедение - Совокупность наук {Совокупность}
восьмерик - мера (веса {мера}
вошь - вши вшей {вши}
вредность - здоровья условия {здоровья}
время - мени -мен {мени}
время - пространством существования {пространством}
время - Пора дня {Пора}
время - категория глагола {категория}
время - времен момента {времен}
времяисчисление - Способ исчисления {Способ}
вседозволенность - Поведение того {Поведение}
всеобуч - пропаганда основ {пропаганда}
всеоружие - всеоружии знаний {всеоружии}
всеуслышание - всеуслышание (книжк {всеуслышание}
всход - ростки посевов {ростки}
вторник - день недели {день}
второгодничество - Пребывание учеников {Пребывание}
втулка - деталь машины {деталь}
вулканизация - процесс превращения {процесс}
вчерась - нареч (обл {нареч}
выборка - обычноМатериалы (статьи {обычноМатериалы}
выборность - Замещение должностей {Замещение}
выбытъ - сов где {сов}
выводка - Вывод животных {Вывод}
выездка - мастерство управления {мастерство}
выжимка - изложение содержания {изложение}
выкидыш - Прерывание беременности {Прерывание}
выкладка - снаряжение солдата {снаряжение}
выкрутасы - Причуды чудачества {Причуды}
выпивон - разг шутл {разг}
выписка - -н текста {-н}
выпуск - Группа учащихся {Группа}
выродок - дка Человек {дка}
выросток - Шкура теленка {Шкура}
выручка - продажи чего {продажи}
выслуга - выслугу лет {выслугу}
высота - уровень развития {уровень}
высота - отрезок перпендикуляра {отрезок}
высота - свойств звука {свойств}
выставка - Собрание каких {Собрание}
выстрел - Взрыв заряда {Взрыв}
высылать","высылка - ВЫСЫЛКА см {ВЫСЫЛКА}
вышка - мера наказания {мера}
вьетнамцы - мец -мца {мец}
вязанка - Связка дров {Связка}
вёдро - погода В {погода}
габарит - очертания предмета {очертания}
гадюшник - Место скопления {Место}
гадёныш - Детеныш гада {Детеныш}
газ - выделения желудка {выделения}
газетчик - Работник газеты {Работник}
газетчик - продавец газет {продавец}
галерея - ярус театра {ярус}
галлон - мера вместимости {мера}
галлюцинация - Обман чувств {Обман}
галоп - галопом нареч {галопом}
галоши - ош кого {ош}
гам - гул голосов {гул}
гамаши - аш Род {аш}
гамма - ряд звуков {ряд}
гамма-глобулин - гамма белков {гамма}
гангрена - Омертвение тканей {Омертвение}
гангстеризм - Действия гангстеров {Действия}
гаолян - злак рода {злак}
гардеробщик - Служащий гардероба {Служащий}
гармония - средства музыки {средства}
гарпун - Орудие китобоев {Орудие}
гвардеец - ейца гвардии {ейца}
гелиотехника - Отрасль науки {Отрасль}
гемоглобин - пигмент крови {пигмент}
ген - носитель наследственности {носитель}
генералиссимус - звание Г {звание}
генеральша - Жена генерала {Жена}
генератор - устройств машин {устройств}
география - Комплекс наук {Комплекс}
география - растений Г {растений}
геолотия - Комплекс наук {Комплекс}
геометрия - Раздел математики {Раздел}
геосфера - оболочек Земли {оболочек}
гепатит - заболевание печени {заболевание}
герб - Эмблема государства {Эмблема}
гербициды - цид -а {цид}
германистика - Совокупность наук {Совокупность}
герц - Единица частоты {Единица}
гестаповец - вца геста {вца}
гетры - гетр Род {гетр}
гжель - собир Изделия {собир}
гибридизация - Скрещивание организмов {Скрещивание}
гигиена - Раздел медицины {Раздел}
гигиена - Обеспечение условий {Обеспечение}
гидравлика - Раздел физики {Раздел}
гидрография - Раздел гидрологии {Раздел}
гидропоника - Выращивание растений {Выращивание}
гидротехника - Отрасль науки {Отрасль}
гильдия - объединение ремесленников {объединение}
гильза - патрон папиросы {патрон}
гимназист - Ученик гимназии {Ученик}
гинекология - Раздел медицины {Раздел}
гипертрофия - Увеличение объема {Увеличение}
гипноз - состояние гипноза {состояние}
гироскоп - регулирования устойчивости {регулирования}
глава - главы глав {главы}
глава - Купол церкви {Купол}
глава - главы глав {главы}
глаголь - буквы \"г {буквы}
глаз - Орган зрения {Орган}
глаз - глазами детей {глазами}
гласный - звуках речи {звуках}
глаукома - Болезнь глаз {Болезнь}
глинозём - окись алюминия {окись}
глоток - Количество жидкости {Количество}
глупец - пца человек {пца}
глухонемота - Отсутствие слуха {Отсутствие}
гнездо - гнезда гнезд {гнезда}
гнездо - место жилья {место}
гнездо - Выводок животных {Выводок}
гнездо - группа слов {группа}
гнида - Яйцо вши {Яйцо}
гной - -ю в {-ю}
гнойник - Место скопления {Место}
гносеология - теория познания {теория}
говор - Звуки разговора {Звуки}
говор - произношение особенности {произношение}
говядина - Мясо коровы {Мясо}
год - Промежуток времени {Промежуток}
год - Период времени {Период}
голгофа - Место мучений {Место}
голова - вин голов {вин}
голова - вин управы {вин}
голова - вин кто {вин}
голова - вин отряда {вин}
голова - Единица счета {Единица}
головка - оконечность чего {оконечность}
голод - Ощущение потребности {Ощущение}
голод - Отсутствие продуктов {Отсутствие}
голод - недостаток чего {недостаток}
гололед - Слой льда {Слой}
гололедица - Слой льда {Слой}
голос - Совокупность звуков {Совокупность}
голос - Право голоса {Право}
голубица - устар ласк {устар}
голубка - Самка голубя {Самка}
голубой - кратк ф {кратк}
голубой - цвета незабудки {цвета}
голубцы - бец -бца {бец}
голышка - разг ласк {разг}
гоньба - Преследование зверя {Преследование}
гора - вин гор {вин}
гора - выработка (обл {выработка}
горбунок - нка м {нка}
горбушка - Кусок хлеба {Кусок}
гордость - Чувство удовлетворения {Чувство}
горец - Житель гор {Житель}
горечь - вкус Г {вкус}
горизонт - Круг знаний {Круг}
горизонт - Высота воды {Высота}
горизонт - Совокупность пластов {Совокупность}
горка - суды фарфора {суды}
горка - Фигура пилотажа {Фигура}
горло - зева глотки {зева}
горохи - поле (обл {поле}
горошек - шка (-шку {шка}
горошина - Зерно гороха {Зерно}
горсть - Количество чего {Количество}
горький - -рек -рька {-рек}
господин - ода -од {ода}
государство - организация общества {организация}
готот - Крик гусей {Крик}
готы - гот древнегер {гот}
грабительство - Действия грабителей {Действия}
гравитация - Метод обогащения {Метод}
гравюра - Изображение (картины {Изображение}
гравюра - рисунок Гравюры {рисунок}
градостроительство - Искусство проектирования {Искусство}
градус - Единица измерения {Единица}
градус - Единица измерения {Единица}
гражданин - граждане граждан {граждане}
грамзапись - Запись музыки {Запись}
грамм - грамм совести {грамм}
грамматика - строй языка {строй}
гран - гран массы {гран}
гранат - Минерал класса {Минерал}
граница - Линия раздела {Линия}
гранула - комочек какого {комочек}
грануляция - зарастание раны {зарастание}
графа - Раздел текста {Раздел}
график - План работ {План}
графика - Искусство изображения {Искусство}
грачонок - нка -чата {нка}
гренки - нок -нка {нок}
грибница - тело гриба {тело}
грибница - похлебка (обл {похлебка}
грибок - нек возбудителей {нек}
грим - Оформление лица {Оформление}
гримаса - искажение лица {искажение}
