аа - отправление естественных потребностей {отправление} 	 type:NAN
арбалет - оружие особого устройства {оружие} 	 type:NAN
арбитраж - Разрешение спорных вопросов {Разрешение} 	 type:NAN
арбуз - плод огородного растения {плод} 	 type:NAN
арбуз - сочный сладкий плод {плод} 	 type:AAN 
арготизм - Заимствование из арго {Заимствование} 	 type:NPN
аренда - Наем недвижимого имущества {Наем} 	 type:NAN
ареометр - Прибор для определения {Прибор} 	 type:NPN
арийцы - иранской групп индоевропейцев {групп} 	 type:ANN 
арка - сооружение криволинейной формы {сооружение} 	 type:NAN
арктика - область земного шара {область} 	 type:NAN
армеец - Служащий в армии {Служащий} 	 type:NPN
армейщина - кличка армейских офицеров {кличка} 	 type:NAN
армия - сухопутные войска государства {войска} 	 type:ANN 
артериосклероз - Болезнь артериальных стенок {Болезнь} 	 type:NAN
артиллерист - службе в артиллерии {службе} 	 type:NPN
артиллерия - орудия различных размеров {орудия} 	 type:NAN
артист - публичным исполнением произведений {исполнением} 	 type:ANN 
архив - Учреждение для хранения {Учреждение} 	 type:NPN
асептика - Предохранение от заражения {Предохранение} 	 type:NPN
аспид - пород ядовитых змей {пород} 	 type:NAN
аспирант - Сотрудник научно-исследовательского учреждения {Сотрудник} 	 type:NAN
аспирин - кристаллический лекарственный порошок {порошок} 	 type:AAN 
ассенизация","асенизация - Очистка выгребных ям {Очистка} 	 type:NAN
ассортимент","асортимент - Подбор различных сортов {Подбор} 	 type:NAN
асфальт - масса минерального происхождения {масса} 	 type:NAN
атавизм - Появление у потомка {Появление} 	 type:NPN
атака - нападение на неприятеля {нападение} 	 type:NPN
атлас - Сборник географических карт {Сборник} 	 type:NAN
атлас - гладкая блестящая ткань {ткань} 	 type:AAN 
ахроматизм - Свойство систем оптических стекол {Свойство} 	 type:NNAN 
аэродром - Площадь для подъема {Площадь} 	 type:NPN
аэролит - Камень космического происхождения {Камень} 	 type:NAN
баба - высокого сдобного кулича {кулича} 	 type:AAN 
бабник - Любитель женского общества {Любитель} 	 type:NAN
бабочка - обозначение молодой женщины {обозначение} 	 type:NAN
бабочка - насекомое из разряда {насекомое} 	 type:NPN
багажник - Приспособление у рамы {Приспособление} 	 type:NPN
багет - планка для изготовления {планка} 	 type:NPN
багрец - краска темного оттенка {краска} 	 type:NAN
багряница - Одежда багряного цвета {Одежда} 	 type:NAN
бадья - низкое деревянное ведро {ведро} 	 type:AAN 
базальт - порода вулканического происхождения {порода} 	 type:NAN
байдарка - легкая спортивная лодка {лодка} 	 type:AAN 
бак - сосуд для хранения {сосуд} 	 type:NPN
бакалавр - степень в нек {степень} 	 type:NPN
бакалея - десертный съестной товар {товар} 	 type:AAN 
баккара - азартной карточной игры {игры} 	 type:AAN 
баклан - преимущ приморская птица {птица} 	 type:AAN 
балалайка - бряцательный музыкальный инструмент {инструмент} 	 type:AAN 
балда - молот для раздробления {молот} 	 type:NPN
баллон","баллон-зонд - сосуд для хранения {сосуд} 	 type:NPN
бальзамин - садового комнатного растения {растения} 	 type:AAN 
бальнеолог - Специалист по бальнеологии {Специалист} 	 type:NPN
балюстрада - Перила из ряда {Перила} 	 type:NPN
балясник - материал для балясин {материал} 	 type:NPN
бандура - инструмент полушаровидной формы {инструмент} 	 type:NAN
бандура - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
банкет - торжественный званый обед {обед} 	 type:AAN 
банчок - карточной азартной игры {игры} 	 type:AAN 
баптист - Последователь христианской секты {Последователь} 	 type:NAN
бар - Единица атмосферного давления {Единица} 	 type:NAN
бареж - легкой шерстяной ткани {ткани} 	 type:AAN 
баржа - судно для перевозки {судно} 	 type:NPN
баржа - большое плоскодонное судно {судно} 	 type:AAN 
барий - металл золотисто цвета {металл} 	 type:NAN
барка - судно для перевозки {судно} 	 type:NPN
барка - плоскодонное деревянное судно {судно} 	 type:AAN 
баркарола - произведения мелодического характера {произведения} 	 type:NAN
баркас - лодка для перевозки {лодка} 	 type:NPN
бармы - Принадлежность парадного наряда {Принадлежность} 	 type:NAN
барометр - Прибор для измерения {Прибор} 	 type:NPN
барс - животное из семейства {животное} 	 type:NPN
барсук - зверь из семейства {зверь} 	 type:NPN
барсук - лесной пушной зверь {зверь} 	 type:AAN 
бархатка - Ленточка из бархата {Ленточка} 	 type:NPN
барчонок - Мальчик барской семьи {Мальчик} 	 type:NAN
басма - эпоху татарского ига {эпоху} 	 type:NAN
басма - краски для волос {краски} 	 type:NPN
башибузук - Солдат иррегулярных частей {Солдат} 	 type:NAN
башня - столпообразное архитектурное сооружение {сооружение} 	 type:AAN 
безведрие - отсутствие хорошей погоды {отсутствие} 	 type:NAN
безверие - Отсутствие религиозной веры {Отсутствие} 	 type:NAN
безвкусие - Отсутствие хорошего вкуса {Отсутствие} 	 type:NAN
безвластие - Отсутствие государственной власти {Отсутствие} 	 type:NAN
безделье - Пребывание в праздности {Пребывание} 	 type:NPN
бездеятельность - Отсутствие надлежащей энергии {Отсутствие} 	 type:NAN
бездна - Пропасть неизмеримой глубины {Пропасть} 	 type:NAN
бездорожье - Отсутствие сносных дорог {Отсутствие} 	 type:NAN
безиг","безик - игры в карты {игры} 	 type:NPN
безлюдье - Отсутствие людей нужных {Отсутствие} 	 type:NNA 
безмен - прибор для определения {прибор} 	 type:NPN
безразличие - Состояние полного равнодушия {Состояние} 	 type:NAN
безучастие - отношение к чему {отношение} 	 type:NPN
бекасинник - дробь для охоты {дробь} 	 type:NPN
бекеша - пальто сюртучного покроя {пальто} 	 type:NAN
бели - выделения половых органов {выделения} 	 type:NAN
беллетрист - Автор беллетристических произведений {Автор} 	 type:NAN
белогвардеец - рядах белой гвардии {рядах} 	 type:NAN
белок - непрозрачная оболочка глаза {оболочка} 	 type:ANN 
белорыбица - рыба из породы {рыба} 	 type:NPN
белуга - рыба из породы {рыба} 	 type:NPN
бель - Белизна (обл различных {Белизна} 	 type:NNA 
бельмо - пятно болезненного происхождения {пятно} 	 type:NAN
бельё - Изделия из тканей {Изделия} 	 type:NPN
беляна - судно для сплава {судно} 	 type:NPN
берейтор - Объездчик верховых лошадей {Объездчик} 	 type:NAN
берет - убор вроде картуза {убор} 	 type:NPN
берилл","берил - камень зеленоватого цвета {камень} 	 type:NAN
беркут - птица из рода {птица} 	 type:NPN
берлина - большой речной барки {барки} 	 type:AAN 
бескозырка - Фуражка без козырька {Фуражка} 	 type:NPN
бесперспективность - Отсутствие ясных перспектив {Отсутствие} 	 type:NAN
бесплодность - Отсутствие желательных результатов {Отсутствие} 	 type:NAN
бесправность - Состояние бесправного лица {Состояние} 	 type:NAN
бессемянка - груши без зерен {груши} 	 type:NPN
бессмыслие - Отсутствие разумного смысла {Отсутствие} 	 type:NAN
бетель - кустарник из семейства {кустарник} 	 type:NPN
бетон - Смесь цементной массы {Смесь} 	 type:NAN
библиолог - Специалист по библиологии {Специалист} 	 type:NPN
бивни - развитых крепких зуба {зуба} 	 type:AAN 
билет - Документ небольшого формата {Документ} 	 type:NAN
биограф - Составитель биографии съемочного киноаппарата {Составитель} 	 type:NNAN 
биология - учение о жизни {учение} 	 type:NPN
биржа - Учреждение для заключения {Учреждение} 	 type:NPN
бисер - бусы для вышивания {бусы} 	 type:NPN
бисер - стеклянные цветные бусы {бусы} 	 type:AAN 
бисквит - сладкое сдобное печенье {печенье} 	 type:AAN 
битюг","битюк - лошадь крупной породы {лошадь} 	 type:NAN
бифштекс - жаркого толстый кусок {кусок} 	 type:AAN 
благотворительность - Оказание материальной помощи {Оказание} 	 type:NAN
благоусмотрение - решение (должностного лица {решение} 	 type:NAN
бланманже - Желе из сливок {Желе} 	 type:NPN
бленорея - Воспаление слизистой оболочки {Воспаление} 	 type:NAN
блин - тонкая круглая лепешка {лепешка} 	 type:AAN 
блок - машина для подъема {машина} 	 type:NPN
блок - Соглашение политических партий {Соглашение} 	 type:NAN
блондин - светлорусый светловолосый мужчина {мужчина} 	 type:AAN 
блондинка - светлорусая светловолосая женщина {женщина} 	 type:AAN 
блузник - устах эксплуататорских классов {устах} 	 type:NAN
блюминг - стан особой системы {стан} 	 type:NAN
блёстки - Искорки на какой {Искорки} 	 type:NPN
боа - змея тропической Америки {змея} 	 type:NAN
бобки - Плоды лаврового дерева {Плоды} 	 type:NAN
бобр - Животное из породы {Животное} 	 type:NPN
богадельня - учреждение для призрения {учреждение} 	 type:NPN
богомол - насекомое теплых стран {насекомое} 	 type:NAN
богоотступник - верующего в противника {верующего} 	 type:NPN
богослужение - Совершение в церкви {Совершение} 	 type:NPN
боевик - Член боевой дружины {Член} 	 type:NAN
бойкот - борьба с чем {борьба} 	 type:NPN
бойкотист - Участник какого политического бойкота {Участник} 	 type:NNAN 
бойня - Здание для убоя {Здание} 	 type:NPN
бок - левая сторона туловища {сторона} 	 type:ANN 
бокал - Посуда для вина {Посуда} 	 type:NPN
бокс - кожа особой выделки {кожа} 	 type:NAN
боксёр - Профессионал бокса повстанческого движения {Профессионал} 	 type:NNAN 
болт - стержень для скрепления {стержень} 	 type:NPN
болтун - яйцо домашней птицы {яйцо} 	 type:NAN
боль - Ощущение физического страдания {Ощущение} 	 type:NAN
больница - Учреждение в к {Учреждение} 	 type:NPN
бомбардир - чин в артиллерии {чин} 	 type:NPN
бомбодержатель - Приспособление для подвески {Приспособление} 	 type:NPN
бомбоньерка - коробочка для конфет {коробочка} 	 type:NPN
бонза - священник в Японии {священник} 	 type:NPN
бонна - Воспитательница маленьких детей {Воспитательница} 	 type:NAN
бор - густой хвойный лес {лес} 	 type:AAN 
бор - простых химических веществ {веществ} 	 type:AAN 
боргес - размера типографского шрифта {размера} 	 type:NAN
борзая - собака особой породы {собака} 	 type:NAN
борозда - черта на поверхности {черта} 	 type:NPN
бортник - бортевым (лесным пчеловодством {пчеловодством} 	 type:AAN 
борть - Улей простейшего устройства {Улей} 	 type:NAN
борщок - Суп без овощей {Суп} 	 type:NPN
босяк - Представитель деклассированных слоев {Представитель} 	 type:NAN
ботанизирка - Коробка для растений {Коробка} 	 type:NPN
ботвинья - кушанье из кваса {кушанье} 	 type:NPN
ботфорт","ботфорта - высокого кавалерийского сапога {сапога} 	 type:AAN 
бочка - круглый деревянный сосуд {сосуд} 	 type:AAN 
бра - подсвечник электрической лампочки {подсвечник} 	 type:NAN
брандахлыст - напиток пища дрянной человек {напиток} 	 type:NNAN 
брандахлыст - жидкий напиток пища {напиток} 	 type:ANN 
брандмайор - Начальник пожарных команд {Начальник} 	 type:NAN
брандмейстер - Начальник пожарной команды {Начальник} 	 type:NAN
браунинг - оружие особой системы {оружие} 	 type:NAN
браунинг - скорострельное ручное оружие {оружие} 	 type:AAN 
брегет - Часы большой точности {Часы} 	 type:NAN
бред - бессвязная речь больного {речь} 	 type:ANN 
брезент - плотная непромокаемая ткань {ткань} 	 type:AAN 
бремсберг - Сооружение для спуска {Сооружение} 	 type:NPN
брильянтин - помада для придания {помада} 	 type:NPN
бритва - нож для бритья {нож} 	 type:NPN
бритва - острый стальной нож {нож} 	 type:AAN 
бритвенница - Прибор для бритья {Прибор} 	 type:NPN
брод - место поперек реки {место} 	 type:NPN
бронзовка - жуков зеленовато цвета {жуков} 	 type:NAN
бронхит - Воспаление слизистой оболочки {Воспаление} 	 type:NAN
брусчатка - Материал для мощения {Материал} 	 type:NPN
брызгалка - Орудие для брызганья {Орудие} 	 type:NPN
брюки - одежда нижней половины {одежда} 	 type:NAN
брюнет - преимущ черноволосый мужчина {мужчина} 	 type:AAN 
брюшко - Брюхо небольших животных {Брюхо} 	 type:NAN
бубновка - Карта бубновой масти {Карта} 	 type:NAN
будка - постройка для часового {постройка} 	 type:NPN
будущность - События будущего времени {События} 	 type:NAN
будёновка - шлем особого образца {шлем} 	 type:NAN
буза - напиток из проса {напиток} 	 type:NPN
буккер - орудие для разрыхления {орудие} 	 type:NPN
булат - сталь для клинков {сталь} 	 type:NPN
булат - узорчатая азиатская сталь {сталь} 	 type:AAN 
булочная - Лавка для торговли {Лавка} 	 type:NPN
бульвар - аллея в городе {аллея} 	 type:NPN
бульдог - Собака особой породы {Собака} 	 type:NAN
бумага - материал для письма {материал} 	 type:NPN
бумагомарака - автор бездарных произведений {автор} 	 type:NAN
бумагопрядильня - Фабрика хлопчатобумажной пряжи {Фабрика} 	 type:NAN
бумеранг - орудие австралийских дикарей {орудие} 	 type:NAN
бур - Машина для сверления {Машина} 	 type:NPN
бурав - Инструмент для сверления {Инструмент} 	 type:NPN
буран - Метель в степи {Метель} 	 type:NPN
буржуй - бранное обозначение буржуа {обозначение} 	 type:ANN 
бурмистр - Доверенный от помещика {Доверенный} 	 type:NPN
буряты - народностей в Сибири {народностей} 	 type:NPN
бут - камень неправильной формы {камень} 	 type:NAN
бутсы - ботинки для футбола {ботинки} 	 type:NPN
бушель - Мера емкости сыпучих тел {Мера} 	 type:NNAN 
бушлат - балахон из парусины {балахон} 	 type:NPN
быдло - тупых безвольных людях {людях} 	 type:AAN 
былина - народная эпическая песня {песня} 	 type:AAN 
быстрина - Место быстрого течения {Место} 	 type:NAN
бювар - Принадлежность письменного стола {Принадлежность} 	 type:NAN
бюллетень - официальное сообщение (напр {сообщение} 	 type:ANN 
бюрократ - Представитель бюрократической системы {Представитель} 	 type:NAN
бёрдо - Принадлежность ткацкого станка {Принадлежность} 	 type:NAN
вагонетка - Вагон небольшого размера {Вагон} 	 type:NAN
вагранка - печь для плавления {печь} 	 type:NPN
ваза - Сосуд разнообразной формы {Сосуд} 	 type:NAN
вакса - состав для придания {состав} 	 type:NPN
вал - насыпь значительной длины {насыпь} 	 type:NAN
валет - фигур игральных карт {фигур} 	 type:NAN
валторна - музыкальный духовой инструмент {инструмент} 	 type:AAN 
вандализм - разрушение культурных ценностей {разрушение} 	 type:NAN
ванна - сосуд для купанья {сосуд} 	 type:NPN
варакушка - певчая птица рода {птица} 	 type:ANN 
варвар - Представитель народа непричастного {Представитель} 	 type:NNA 
варница - Заведение для добывания {Заведение} 	 type:NPN
варшавянка - польской революционной песни {песни} 	 type:AAN 
варяги - племени из среды {племени} 	 type:NPN
васисдас - форточка в двери {форточка} 	 type:NPN
ватерпас - Прибор для определения {Прибор} 	 type:NPN
ватин - ткань редкого плетения {ткань} 	 type:NAN
вафельница - Прибор для изготовления {Прибор} 	 type:NPN
вафля - печенье из муки {печенье} 	 type:NPN
вахлак - Человек неряшливого вида {Человек} 	 type:NAN
вашгерд - Аппарат для промывки {Аппарат} 	 type:NPN
великан - Человек огромного роста {Человек} 	 type:NAN
велодром - Площадка для езды {Площадка} 	 type:NPN
велосипед - Аппарат для езды {Аппарат} 	 type:NPN
вельвет - ткань вроде бархата {ткань} 	 type:NPN
венеролог - Специалист по венерологии {Специалист} 	 type:NPN
венец - убор род металлического венка {убор} 	 type:NNAN 
венок - кружок из цветов {кружок} 	 type:NPN
вера - Состояние сознания верующего {Состояние} 	 type:NNA 
верба - Ива различных видов {Ива} 	 type:NAN
верблюд - животное из породы {животное} 	 type:NPN
веретено - орудие для пряжи {орудие} 	 type:NPN
верея - столбов на к {столбов} 	 type:NPN
веронал - употребительных снотворных лекарств {лекарств} 	 type:AAN 
вероотступничество - Отречение от веры {Отречение} 	 type:NPN
веротерпимость - Признание права свободного исповедания {Признание} 	 type:NNAN 
вероучение - Совокупность основных положений {Совокупность} 	 type:NAN
вертикал - круг небесной сферы {круг} 	 type:NAN
вертушка - Термин для обозначения {Термин} 	 type:NPN
верша","вёрша - Приспособление для ловли {Приспособление} 	 type:NPN
вершник - частей ткацкого станка {частей} 	 type:NAN
весельчак - Человек веселого нрава {Человек} 	 type:NAN
веснянка - обрядовая народная песня {песня} 	 type:AAN 
весы - Прибор для определения {Прибор} 	 type:NPN
весёлка - Лопатка для размешивания {Лопатка} 	 type:NPN
ветеринар - Специалист по ветеринарии {Специалист} 	 type:NPN
ветошка - Лоскут ветхого белья {Лоскут} 	 type:NAN
ветромер - Прибор для измерения {Прибор} 	 type:NPN
ветчина - копченое свиное мясо {мясо} 	 type:AAN 
вехист","веховец - Участник сборника публицистических статей {Участник} 	 type:NNAN 
веялка - Машина для очистки {Машина} 	 type:NPN
взвод - административное подразделение роты {подразделение} 	 type:ANN 
взмёт - вспашка парового поля {вспашка} 	 type:NAN
виадук - сооружение для перехода {сооружение} 	 type:NPN
вивисекция - Вскрытие живого животного {Вскрытие} 	 type:NAN
визави - Друг против друга {Друг} 	 type:NPN
византиноведение - Наука об истории {Наука} 	 type:NPN
визир - Приспособление для прицела {Приспособление} 	 type:NPN
виктория - крупной садовой земляники {земляники} 	 type:AAN 
виктория - садовой земляники т {земляники} 	 type:ANN 
вилы - орудие для подъема {орудие} 	 type:NPN
винновка - Карта пиковой масти {Карта} 	 type:NAN
виннозаводчик - Владелец винного завода {Владелец} 	 type:NAN
виноградарство - Отрасль сельского хозяйства {Отрасль} 	 type:NAN
виола - смычковый музыкальный инструмент {инструмент} 	 type:AAN 
виршеплёт - бездарный сочинитель стихов {сочинитель} 	 type:ANN 
виселица - Орудие смертной казни {Орудие} 	 type:NAN
виски - водка большой крепости {водка} 	 type:NAN
висмут - металл белого цвета {металл} 	 type:NAN
витализм - направление в биологии {направление} 	 type:NPN
виток - оборот винтообразной линии {оборот} 	 type:NAN
витютень - лесных диких голубей {голубей} 	 type:AAN 
вихрь - круговое движение ветра {движение} 	 type:ANN 
вицмундир - фрак гражданских чиновников {фрак} 	 type:NAN
властолюбие - Стремление к власти {Стремление} 	 type:NPN
власяница - одежда из волос {одежда} 	 type:NPN
влечение - склонность к кому {склонность} 	 type:NPN
водевиль - пьеса фарсового характера {пьеса} 	 type:NAN
водник - Работник водного транспорта {Работник} 	 type:NAN
водовместилище - Резервуар для воды {Резервуар} 	 type:NPN
водогрейка - Сосуд для подогревания {Сосуд} 	 type:NPN
водокачка - Здание для насосов {Здание} 	 type:NPN
водомер - Прибор для измерения {Прибор} 	 type:NPN
водонос - Палка для ношения {Палка} 	 type:NPN
водорез - Край носовой части {Край} 	 type:NAN
водород - легкий бесцветный газ {газ} 	 type:AAN 
водосбор - Растение из семейства {Растение} 	 type:NPN
водочерпалка - Машина для вычерпывания {Машина} 	 type:NPN
военкор - Корреспондент военной газеты {Корреспондент} 	 type:NAN
вожделение - влечение к кому {влечение} 	 type:NPN
вожделение - чувственное половое влечение {влечение} 	 type:AAN 
воздух - Покрывало для чаши {Покрывало} 	 type:NPN
вокализм - Система гласных звуков {Система} 	 type:NAN
вокзал - Здание железнодорожной станции {Здание} 	 type:NAN
волан - Оборка из кружев {Оборка} 	 type:NPN
волкодав - Собака крупной породы {Собака} 	 type:NAN
волнение - движение водной поверхности {движение} 	 type:NAN
волокуша - приспособление для перевозки {приспособление} 	 type:NPN
волосатик - длинный тонкий червяк {червяк} 	 type:AAN 
волосатик - тонкий червяк (зоол {червяк} 	 type:ANN 
волосик - Ласкат к волос {Ласкат} 	 type:NPN
волосяник - Тюфяк из волоса {Тюфяк} 	 type:NPN
волчец - колючих сорных трав {трав} 	 type:AAN 
волчец - сорных трав (бот {трав} 	 type:ANN 
волчок - Выпь особой породы {Выпь} 	 type:NAN
волынка - духовой музыкальный инструмент {инструмент} 	 type:AAN 
вольтаж - Степень напряжения электрического тока {Степень} 	 type:NNAN 
вольтаметр - Прибор для измерения {Прибор} 	 type:NPN
вольтметр - Прибор для определения {Прибор} 	 type:NPN
вольфрам - твердого тугоплавкого металла {металла} 	 type:AAN 
волюнтаризм - Направление идеалистической философии {Направление} 	 type:NAN
волюта - Завиток капители ионической колонны {Завиток} 	 type:NNAN 
воля","волей-неволей - основных психических способностей {способностей} 	 type:AAN 
вонючка - Животное из породы {Животное} 	 type:NPN
воплощение - Принятие телесного образа {Принятие} 	 type:NAN
воробей - птичка из семейства {птичка} 	 type:NPN
ворон - птица из семейства {птица} 	 type:NPN
ворон - черная хищная птица {птица} 	 type:AAN 
воронец - растение из семейства {растение} 	 type:NPN
ворот - машина для подъема {машина} 	 type:NPN
восковка - бумага (для чертежей {бумага} 	 type:NPN
воскресение - различным религиозным верованиям {верованиям} 	 type:AAN 
восприемник - христианском обряде крещения {обряде} 	 type:ANN 
восток - главных стран света {стран} 	 type:ANN 
восточник - Студент факультета восточных языков {Студент} 	 type:NNAN 
восхищение - Чувство радостного удовлетворения {Чувство} 	 type:NAN
восьминог - Спрут из породы {Спрут} 	 type:NPN
вотяки - Народность восточно племени {Народность} 	 type:NAN
всеобуч - всеобщее начальное обучение {обучение} 	 type:AAN 
второзаконие - книг Ветхого завета {книг} 	 type:NAN
втуз - техническое учебное заведение {заведение} 	 type:AAN 
вуаль - сетка из тюля {сетка} 	 type:NPN
вулкан - Гора конической формы {Гора} 	 type:NAN
вулканизм - Деятельность внутренних сил {Деятельность} 	 type:NAN
вулканит - порода вулканического происхождения {порода} 	 type:NAN
выварки - Остатки после варки {Остатки} 	 type:NPN
выводок - Семья молодых птиц {Семья} 	 type:NAN
выгарки - Остатки от сгорания {Остатки} 	 type:NPN
выдра - животное из семейства {животное} 	 type:NPN
выжереб - Приплод у кобыл {Приплод} 	 type:NPN
выкидыш - искусственное преждевременное прекращение {прекращение} 	 type:AAN 
выкидыш - преждевременное прекращение беременности {прекращение} 	 type:ANN 
выключатель - Приспособление для выключения {Приспособление} 	 type:NPN
выколотка - Болт для выколачивания {Болт} 	 type:NPN
выкройка - Вырезка из бумаги {Вырезка} 	 type:NPN
выпрямитель - Прибор для превращения {Прибор} 	 type:NPN
выпь - птица из семейства {птица} 	 type:NPN
высотомер - Прибор для измерения {Прибор} 	 type:NPN
вытрезвитель - Учреждение санитарно характера {Учреждение} 	 type:NAN
вытяжение - лечение больных конечностей {лечение} 	 type:NAN
выученик - учении у кого {учении} 	 type:NPN
выходка - необычный дерзкий поступок {поступок} 	 type:AAN 
вычитание - действий посредством к {действий} 	 type:NPN
вьюн - юркая рыба миноги {рыба} 	 type:ANN 
вьюрок - птичка отряда воробьиных {птичка} 	 type:NNA 
вёдро - ясная сухая погода {погода} 	 type:AAN 
габарит - контур поперечного сечения {контур} 	 type:NAN
гавот - французский танец (истор {танец} 	 type:ANN 
гага - птица из семейства {птица} 	 type:NPN
гагара - северная водяная птица {птица} 	 type:AAN 
газель - Животное из семейства {Животное} 	 type:NPN
газогенератор - печь для производства {печь} 	 type:NPN
газомер - Прибор для измерения {Прибор} 	 type:NPN
газометр - Прибор для хранения {Прибор} 	 type:NPN
газопровод - Труба для передачи {Труба} 	 type:NPN
газоубежище - помещение для укрытия {помещение} 	 type:NPN
гайдамачина - движение против поляков {движение} 	 type:NPN
гайдук - лакей времен крепостного права {лакей} 	 type:NNAN 
галера - гребное многовесельное судно {судно} 	 type:AAN 
